lot_frontage,lot_area,year_built,year_remod/add,mas_vnr_area,bsmtfin_sf_1,total_bsmt_sf,1st_flr_sf,2nd_flr_sf,gr_liv_area,bsmt_full_bath,full_bath,half_bath,bedroom_abvgr,totrms_abvgrd,fireplaces,garage_yr_blt,garage_cars,garage_area,wood_deck_sf,open_porch_sf,mo_sold,yr_sold
60.0,7200.0,1931,2000,0.0,0.0,776.0,851.0,651.0,1502.0,0,1,1,3,6,1,1931,1,270.0,0.0,0.0,2,2008
80.0,9920.0,1954,1954,110.0,354.0,1056.0,1063.0,0.0,1063.0,1,1,0,3,6,0,1954,1,280.0,0.0,0.0,2,2010
36.0,2448.0,2003,2004,106.0,0.0,764.0,764.0,862.0,1626.0,0,2,1,2,6,0,2003,2,474.0,0.0,27.0,10,2008
69.06,2998.0,2000,2000,513.0,353.0,756.0,768.0,756.0,1524.0,0,2,1,2,4,0,2000,2,440.0,0.0,32.0,6,2006
65.0,7804.0,1928,1950,0.0,622.0,1122.0,1328.0,653.0,1981.0,1,2,0,4,7,2,1981,2,576.0,431.0,44.0,12,2009
80.0,16692.0,1978,1978,184.0,790.0,1392.0,1392.0,1392.0,2784.0,1,3,1,5,12,2,1978,2,564.0,0.0,112.0,7,2006
21.0,1476.0,1970,1970,0.0,176.0,546.0,546.0,546.0,1092.0,0,1,1,3,5,0,2005,0,0.0,200.0,26.0,3,2010
75.0,10170.0,1951,1951,522.0,0.0,216.0,1575.0,0.0,1575.0,0,1,1,2,5,1,1951,2,400.0,0.0,0.0,6,2006
80.0,9364.0,1969,1969,143.0,371.0,663.0,663.0,689.0,1352.0,0,1,1,4,7,0,1969,1,299.0,379.0,36.0,3,2010
24.0,2544.0,2004,2005,0.0,368.0,600.0,600.0,600.0,1200.0,1,2,1,2,4,0,2004,2,480.0,0.0,172.0,2,2010
82.0,9888.0,1954,1975,0.0,486.0,936.0,936.0,0.0,936.0,0,1,0,2,5,0,1954,1,240.0,0.0,0.0,3,2006
68.0,7942.0,1953,1953,0.0,85.0,1040.0,1040.0,0.0,1040.0,0,1,0,3,6,0,1953,1,293.0,0.0,0.0,6,2007
69.06,15038.0,1996,1996,0.0,138.0,916.0,916.0,720.0,1636.0,0,2,1,3,7,1,1996,2,386.0,168.0,84.0,11,2008
92.0,11764.0,1999,2007,348.0,524.0,1152.0,1164.0,1106.0,2270.0,0,2,1,4,9,1,1999,3,671.0,132.0,57.0,4,2010
75.0,9000.0,2007,2007,0.0,64.0,1184.0,1184.0,1426.0,2610.0,0,2,1,4,11,1,2007,2,550.0,208.0,364.0,8,2007
69.06,20062.0,1977,2001,0.0,1092.0,1420.0,1483.0,0.0,1483.0,1,1,1,1,4,2,1977,2,690.0,496.0,0.0,4,2010
81.0,7308.0,1920,1950,0.0,360.0,936.0,960.0,780.0,1740.0,0,1,0,2,6,1,1920,1,225.0,0.0,0.0,6,2008
70.0,8750.0,1955,1955,0.0,172.0,1382.0,1382.0,0.0,1382.0,0,1,0,3,6,0,1955,1,350.0,280.0,0.0,7,2009
70.0,8402.0,2007,2007,0.0,206.0,1120.0,1120.0,0.0,1120.0,0,1,0,3,6,0,2005,0,0.0,0.0,30.0,12,2007
63.0,4000.0,1930,1995,0.0,246.0,531.0,567.0,531.0,1098.0,1,1,0,2,5,1,1930,1,216.0,0.0,0.0,6,2007
32.0,3363.0,2004,2004,117.0,0.0,976.0,976.0,732.0,1708.0,0,2,0,3,7,0,2004,2,380.0,0.0,40.0,4,2006
94.0,13615.0,2006,2006,510.0,0.0,1802.0,1802.0,0.0,1802.0,0,2,1,3,7,1,2006,3,843.0,158.0,105.0,6,2007
43.0,3013.0,2005,2005,145.0,16.0,1362.0,1506.0,0.0,1506.0,0,2,0,2,6,1,2005,2,440.0,142.0,20.0,4,2006
44.0,17485.0,2009,2010,96.0,1346.0,1508.0,1508.0,0.0,1508.0,1,1,0,1,5,2,2009,2,572.0,0.0,0.0,1,2010
69.06,23730.0,1996,1997,668.0,700.0,1840.0,2032.0,0.0,2032.0,1,3,0,3,7,0,1996,3,786.0,0.0,46.0,9,2008
79.0,8910.0,1959,1959,0.0,655.0,655.0,1194.0,0.0,1194.0,0,1,0,3,6,1,1954,2,539.0,0.0,0.0,7,2006
24.0,2522.0,2004,2004,50.0,0.0,970.0,970.0,739.0,1709.0,0,2,0,3,7,0,2004,2,380.0,0.0,40.0,4,2006
73.0,8688.0,2005,2005,228.0,0.0,1616.0,1616.0,0.0,1616.0,0,2,0,3,7,0,2005,3,834.0,208.0,59.0,4,2006
69.06,6291.0,1930,1950,0.0,0.0,768.0,768.0,0.0,768.0,0,1,0,1,4,0,1930,2,440.0,0.0,0.0,7,2008
69.06,17529.0,1924,1950,65.0,0.0,872.0,872.0,0.0,872.0,0,1,0,2,5,1,1924,1,322.0,0.0,0.0,4,2006
60.0,6324.0,1927,1950,0.0,0.0,520.0,520.0,0.0,520.0,0,1,0,1,4,0,1920,1,240.0,49.0,0.0,5,2008
80.0,11600.0,1960,1960,361.0,443.0,1105.0,1105.0,1169.0,2274.0,0,2,0,5,12,0,1960,2,480.0,0.0,0.0,1,2010
50.0,7288.0,1925,2003,0.0,0.0,936.0,936.0,665.0,1601.0,0,2,0,3,6,0,2005,0,0.0,0.0,0.0,9,2007
35.0,4571.0,1910,1950,0.0,168.0,616.0,616.0,616.0,1232.0,0,1,0,3,6,0,1920,2,480.0,280.0,0.0,6,2007
100.0,12665.0,1915,1950,0.0,0.0,876.0,876.0,540.0,1416.0,0,1,1,4,7,1,1949,3,720.0,418.0,0.0,6,2008
60.0,9000.0,1971,2006,0.0,240.0,864.0,864.0,0.0,864.0,0,1,0,3,5,0,1986,2,576.0,200.0,0.0,7,2009
32.0,4500.0,1997,1997,197.0,864.0,1189.0,1189.0,0.0,1189.0,1,2,0,2,4,0,1997,2,392.0,0.0,122.0,4,2008
48.0,6373.0,2006,2006,572.0,415.0,1666.0,1666.0,0.0,1666.0,1,2,0,2,6,1,2006,2,575.0,228.0,75.0,6,2006
67.0,10083.0,2003,2003,99.7,833.0,1176.0,1200.0,0.0,1200.0,1,2,0,2,5,0,2003,2,555.0,0.0,41.0,8,2009
70.0,13300.0,1956,2000,0.0,377.0,928.0,928.0,0.0,928.0,0,1,0,2,4,0,1956,1,252.0,261.0,0.0,6,2007
80.0,9600.0,1969,1969,128.0,553.0,1288.0,1336.0,0.0,1336.0,0,2,0,3,6,1,1969,2,502.0,312.0,11.0,8,2009
30.0,3215.0,2004,2004,120.0,280.0,600.0,600.0,600.0,1200.0,0,2,1,2,4,0,2004,2,480.0,0.0,172.0,4,2010
69.06,11104.0,1969,1969,0.0,828.0,1427.0,1427.0,0.0,1427.0,0,2,0,4,7,0,1969,2,516.0,0.0,0.0,5,2008
69.06,15295.0,1996,2002,254.0,762.0,860.0,1212.0,780.0,1992.0,1,2,1,3,7,2,1996,2,608.0,225.0,32.0,6,2007
70.0,9109.0,1994,1994,0.0,36.0,754.0,754.0,786.0,1540.0,1,2,1,3,6,0,1994,2,495.0,140.0,32.0,10,2009
64.0,7018.0,1979,1979,0.0,0.0,0.0,1535.0,0.0,1535.0,0,2,0,4,8,0,1979,2,400.0,0.0,0.0,6,2009
69.06,14112.0,1964,1964,86.0,1014.0,1152.0,1152.0,0.0,1152.0,1,1,0,3,6,1,1964,2,484.0,227.0,0.0,4,2010
80.0,3523.0,2006,2007,30.0,60.0,1141.0,1151.0,0.0,1151.0,1,2,0,2,5,0,2006,2,484.0,0.0,60.0,2,2007
88.0,15312.0,1960,1960,54.0,588.0,1138.0,1138.0,0.0,1138.0,0,1,0,3,6,1,1960,2,480.0,0.0,0.0,3,2009
74.0,7450.0,1956,1956,0.0,438.0,894.0,1074.0,0.0,1074.0,0,1,0,2,6,1,1966,2,396.0,0.0,72.0,1,2007
60.0,7313.0,2005,2005,246.0,1153.0,1561.0,1561.0,0.0,1561.0,1,2,0,2,6,1,2005,2,556.0,203.0,47.0,8,2007
83.0,10019.0,1995,1995,397.0,527.0,1342.0,1358.0,1368.0,2726.0,0,2,1,4,9,1,1995,3,725.0,307.0,169.0,6,2006
53.0,15401.0,2004,2004,296.0,1337.0,1884.0,1884.0,0.0,1884.0,1,2,0,2,7,1,2004,3,670.0,214.0,76.0,9,2008
58.0,9098.0,1920,2002,0.0,348.0,528.0,605.0,0.0,605.0,1,1,0,2,5,0,2005,0,0.0,0.0,0.0,7,2007
103.0,16280.0,1976,2007,0.0,1044.0,1426.0,1671.0,0.0,1671.0,1,3,0,3,6,1,1976,2,550.0,280.0,90.0,5,2008
72.0,9392.0,1900,1950,0.0,0.0,245.0,797.0,0.0,797.0,0,1,0,2,5,0,2005,0,0.0,0.0,36.0,9,2009
71.0,12209.0,2001,2002,0.0,690.0,804.0,804.0,1157.0,1961.0,1,2,1,3,7,1,2001,2,560.0,125.0,192.0,6,2009
79.0,13110.0,1972,1972,144.0,962.0,1153.0,1193.0,0.0,1193.0,1,2,0,2,6,0,1972,2,501.0,140.0,153.0,7,2006
69.06,2651.0,2000,2000,0.0,641.0,673.0,673.0,709.0,1382.0,1,2,1,3,6,0,2000,2,490.0,153.0,50.0,4,2006
60.0,8520.0,1916,1950,0.0,168.0,714.0,1664.0,862.0,2526.0,0,2,0,5,10,1,1916,1,216.0,88.0,15.0,8,2007
69.06,39384.0,1957,1957,902.0,1110.0,1705.0,1390.0,0.0,1390.0,1,1,1,1,4,2,1957,2,550.0,0.0,189.0,10,2006
36.0,2628.0,2003,2003,106.0,0.0,764.0,764.0,862.0,1626.0,0,2,1,2,6,0,2003,2,474.0,0.0,27.0,6,2010
57.0,6406.0,1939,1950,0.0,421.0,690.0,868.0,690.0,1558.0,0,1,1,3,7,1,1939,2,400.0,0.0,36.0,10,2009
69.06,12342.0,1960,1978,0.0,0.0,978.0,1422.0,0.0,1422.0,0,1,0,3,6,1,1960,1,286.0,0.0,0.0,8,2007
52.0,6240.0,1930,1992,0.0,0.0,1078.0,1128.0,445.0,1573.0,0,2,0,3,8,1,1930,2,360.0,0.0,0.0,6,2008
87.0,10000.0,1962,1962,261.0,0.0,1116.0,1116.0,0.0,1116.0,0,1,1,3,5,0,1962,2,440.0,0.0,0.0,2,2010
69.06,9000.0,1947,1950,0.0,0.0,0.0,660.0,0.0,660.0,0,1,0,2,5,0,2005,0,0.0,0.0,0.0,6,2009
80.0,11088.0,1978,1998,144.0,832.0,1140.0,1707.0,0.0,1707.0,0,2,0,3,7,1,1978,2,479.0,0.0,0.0,5,2009
134.0,17755.0,1959,1959,132.0,176.0,1466.0,1466.0,0.0,1466.0,0,1,1,3,6,2,1959,2,528.0,0.0,140.0,11,2006
69.06,4765.0,2000,2000,260.0,1027.0,1614.0,1638.0,0.0,1638.0,1,2,0,2,5,1,2000,2,495.0,230.0,68.0,7,2008
69.06,10532.0,1960,1960,275.0,988.0,988.0,1721.0,0.0,1721.0,1,2,0,3,7,2,1960,2,626.0,50.0,84.0,12,2008
65.0,15426.0,1997,1997,0.0,821.0,928.0,928.0,836.0,1764.0,1,2,1,3,7,0,1997,2,470.0,276.0,99.0,8,2009
63.0,13907.0,1940,1969,0.0,290.0,996.0,996.0,0.0,996.0,1,1,0,3,6,1,2005,0,0.0,144.0,0.0,7,2008
70.0,8750.0,1956,1956,0.0,435.0,1202.0,1202.0,0.0,1202.0,0,1,0,3,6,0,1956,1,304.0,0.0,35.0,11,2009
69.06,9945.0,1961,1961,57.0,827.0,988.0,988.0,0.0,988.0,1,1,0,3,5,0,1963,2,572.0,0.0,0.0,10,2007
56.0,8960.0,1927,1950,0.0,0.0,1008.0,1028.0,0.0,1028.0,0,1,0,2,5,1,1927,2,360.0,0.0,0.0,3,2010
50.0,3500.0,1947,1950,0.0,312.0,720.0,720.0,564.0,1284.0,0,1,1,2,5,0,1948,1,240.0,0.0,35.0,4,2009
69.06,24572.0,1977,1977,1050.0,410.0,994.0,1599.0,1345.0,2944.0,0,2,2,3,9,1,1977,3,864.0,140.0,70.0,6,2008
74.0,9056.0,2004,2004,0.0,0.0,707.0,707.0,707.0,1414.0,0,2,1,3,6,1,2004,2,403.0,100.0,35.0,10,2006
70.0,12320.0,1932,1990,0.0,0.0,637.0,959.0,650.0,1609.0,0,1,1,3,8,2,1963,3,579.0,0.0,0.0,5,2006
60.0,8238.0,1997,1998,0.0,700.0,813.0,813.0,712.0,1525.0,1,2,1,3,6,1,1997,2,400.0,421.0,72.0,5,2006
75.0,6000.0,1967,1967,0.0,257.0,624.0,1092.0,564.0,1656.0,0,1,1,3,7,1,1967,1,288.0,0.0,180.0,7,2008
24.0,2529.0,1977,1977,0.0,378.0,1055.0,1055.0,0.0,1055.0,0,2,0,2,4,0,1977,2,440.0,0.0,38.0,9,2008
60.0,10800.0,1939,2006,0.0,0.0,676.0,676.0,676.0,1352.0,0,2,0,4,7,0,1939,2,720.0,187.0,0.0,8,2009
24.0,2349.0,1977,1977,0.0,389.0,855.0,855.0,601.0,1456.0,0,2,1,3,6,1,1977,2,440.0,0.0,28.0,5,2009
32.0,10846.0,1993,1993,0.0,1619.0,1719.0,1719.0,0.0,1719.0,2,1,1,1,6,2,1993,2,473.0,122.0,30.0,5,2008
67.0,5604.0,1925,1950,0.0,468.0,864.0,864.0,0.0,864.0,1,1,0,2,5,0,2005,0,0.0,0.0,0.0,4,2008
21.0,1680.0,1973,1973,359.0,458.0,483.0,483.0,504.0,987.0,0,1,1,2,5,0,1973,1,264.0,52.0,0.0,2,2008
54.0,6342.0,1875,1996,0.0,0.0,780.0,780.0,240.0,1020.0,0,1,0,2,6,0,2005,0,0.0,0.0,0.0,5,2010
34.0,4590.0,2006,2006,108.0,24.0,1554.0,1554.0,0.0,1554.0,0,2,0,2,6,1,2006,2,627.0,156.0,73.0,8,2007
60.0,12900.0,1912,2009,0.0,0.0,780.0,780.0,780.0,1560.0,0,1,1,3,7,0,2005,0,0.0,344.0,0.0,5,2010
140.0,19138.0,1951,1951,0.0,120.0,864.0,864.0,0.0,864.0,0,1,0,2,4,0,1951,2,400.0,0.0,0.0,6,2010
69.06,8658.0,2000,2000,0.0,732.0,982.0,1008.0,881.0,1889.0,0,2,1,3,9,1,2000,2,431.0,0.0,0.0,4,2006
69.06,6897.0,1962,2010,0.0,659.0,1040.0,1040.0,0.0,1040.0,1,1,1,3,6,0,1962,1,260.0,0.0,104.0,4,2010
75.0,9525.0,1954,1998,0.0,954.0,1172.0,1172.0,0.0,1172.0,1,1,0,3,5,0,1954,1,366.0,240.0,0.0,6,2010
57.0,12853.0,2010,2010,0.0,1032.0,1642.0,1418.0,0.0,1418.0,1,1,1,1,6,1,2010,3,852.0,160.0,192.0,4,2010
52.0,6240.0,1931,1950,0.0,425.0,884.0,959.0,408.0,1367.0,0,1,0,3,6,1,1978,1,560.0,0.0,0.0,11,2007
64.0,7301.0,2003,2003,500.0,0.0,0.0,495.0,1427.0,1922.0,0,3,0,4,7,1,2003,2,672.0,0.0,0.0,7,2009
78.0,12090.0,1981,1981,210.0,588.0,1422.0,1422.0,0.0,1422.0,0,2,0,3,7,1,1981,2,576.0,276.0,0.0,6,2008
69.06,8826.0,2000,2000,144.0,841.0,985.0,985.0,857.0,1842.0,1,2,1,3,7,1,2000,2,486.0,193.0,96.0,7,2007
57.0,8094.0,1915,1950,0.0,0.0,888.0,888.0,1074.0,1962.0,0,1,1,4,9,1,1915,2,572.0,160.0,0.0,6,2010
69.06,10710.0,1966,2004,165.0,644.0,864.0,1120.0,0.0,1120.0,0,1,0,3,5,1,1966,2,656.0,0.0,162.0,7,2009
70.0,8400.0,1957,1957,0.0,189.0,1478.0,1478.0,0.0,1478.0,1,1,1,3,6,2,1957,2,442.0,114.0,0.0,6,2009
90.0,11250.0,1995,1996,0.0,685.0,930.0,950.0,1045.0,1995.0,1,2,1,4,8,1,1995,2,610.0,275.0,170.0,7,2006
70.0,7535.0,1958,1985,0.0,111.0,912.0,912.0,0.0,912.0,0,1,0,2,5,0,1958,1,297.0,12.0,285.0,6,2007
88.0,12216.0,2005,2005,0.0,918.0,1326.0,1326.0,0.0,1326.0,1,2,0,3,6,0,2005,2,388.0,120.0,23.0,6,2007
30.0,3701.0,1987,1987,0.0,0.0,1191.0,1204.0,0.0,1204.0,0,2,0,2,5,0,1987,2,461.0,120.0,70.0,8,2006
80.0,9760.0,1964,1964,360.0,674.0,780.0,798.0,813.0,1611.0,1,1,1,4,7,0,1964,2,442.0,328.0,128.0,6,2008
60.0,9873.0,1970,1970,160.0,789.0,960.0,960.0,0.0,960.0,1,1,0,3,6,0,1970,2,576.0,0.0,288.0,5,2006
72.0,10011.0,1957,1996,64.0,360.0,1070.0,1236.0,0.0,1236.0,0,1,0,2,6,1,1957,1,447.0,0.0,0.0,5,2006
69.06,25339.0,1918,2007,0.0,0.0,816.0,1416.0,0.0,1416.0,0,2,0,3,7,0,2007,2,576.0,0.0,0.0,8,2007
69.06,8883.0,1988,1988,360.0,608.0,929.0,946.0,927.0,1873.0,1,2,1,3,7,1,1988,2,619.0,108.0,48.0,5,2007
50.0,3000.0,1922,1950,0.0,0.0,1040.0,1088.0,1040.0,2128.0,0,2,0,4,11,0,2005,0,0.0,0.0,56.0,9,2009
36.0,2448.0,2003,2004,106.0,573.0,764.0,764.0,862.0,1626.0,1,2,1,2,6,0,2003,2,474.0,0.0,27.0,10,2008
73.0,7100.0,1957,1957,0.0,708.0,816.0,816.0,0.0,816.0,1,1,0,2,5,0,1957,1,308.0,0.0,0.0,7,2006
36.0,2592.0,1976,1976,0.0,129.0,536.0,536.0,576.0,1112.0,0,1,1,3,4,0,1976,1,336.0,182.0,0.0,4,2010
69.06,5700.0,1926,1950,0.0,0.0,572.0,572.0,539.0,1111.0,0,1,0,2,5,1,1982,1,288.0,0.0,0.0,8,2008
24.0,2289.0,1978,1978,0.0,311.0,855.0,855.0,586.0,1441.0,0,2,1,3,7,1,1978,2,440.0,28.0,0.0,4,2009
60.0,12180.0,1941,1950,0.0,348.0,672.0,672.0,252.0,924.0,1,1,0,2,5,0,1941,1,280.0,0.0,0.0,7,2010
69.06,7400.0,1984,1984,0.0,104.0,1060.0,1126.0,0.0,1126.0,1,1,0,2,5,0,1984,2,506.0,178.0,0.0,3,2008
68.0,8842.0,1954,1954,0.0,0.0,381.0,992.0,0.0,992.0,0,1,0,3,6,0,1954,1,319.0,60.0,0.0,1,2010
60.0,8850.0,1920,1950,0.0,0.0,768.0,752.0,624.0,1376.0,0,1,0,3,7,0,1977,2,576.0,0.0,54.0,2,2007
92.0,9215.0,2009,2010,0.0,0.0,1218.0,1218.0,0.0,1218.0,0,2,0,2,4,0,2009,2,676.0,0.0,136.0,4,2010
79.0,9480.0,1942,1995,224.0,386.0,728.0,888.0,756.0,1644.0,0,1,1,3,7,2,1942,1,312.0,168.0,0.0,6,2007
82.0,11880.0,1978,1978,206.0,704.0,1271.0,1601.0,0.0,1601.0,0,2,0,3,7,1,1978,2,478.0,0.0,0.0,4,2009
60.0,10800.0,1890,1999,0.0,0.0,1313.0,1313.0,1182.0,2495.0,0,2,0,5,10,1,1950,2,342.0,0.0,299.0,12,2008
69.06,7861.0,2002,2003,0.0,457.0,783.0,807.0,702.0,1509.0,1,2,1,3,7,1,2002,2,393.0,100.0,75.0,6,2006
69.06,11616.0,1962,1962,116.0,170.0,1092.0,1092.0,0.0,1092.0,0,1,0,3,6,1,1962,1,288.0,0.0,20.0,9,2009
96.0,10542.0,1993,1994,651.0,1173.0,1311.0,1325.0,1093.0,2418.0,1,2,1,3,9,1,1993,3,983.0,250.0,154.0,8,2008
21.0,1680.0,1971,1971,504.0,156.0,483.0,483.0,504.0,987.0,0,1,1,2,5,0,1971,1,264.0,275.0,0.0,2,2010
80.0,8546.0,2003,2004,0.0,0.0,1121.0,1121.0,0.0,1121.0,0,2,0,2,5,0,2003,2,440.0,132.0,64.0,3,2010
90.0,7407.0,1957,1996,0.0,600.0,912.0,1236.0,0.0,1236.0,1,1,0,2,6,0,1957,2,923.0,0.0,158.0,4,2010
78.0,10140.0,1975,1975,0.0,788.0,1056.0,1074.0,0.0,1074.0,1,1,1,3,6,0,1975,2,495.0,0.0,88.0,7,2006
80.0,14584.0,1952,1952,0.0,0.0,0.0,733.0,0.0,733.0,0,1,0,2,4,0,1952,2,487.0,0.0,0.0,2,2008
65.0,8158.0,2003,2003,252.0,550.0,884.0,884.0,884.0,1768.0,1,2,1,3,8,0,2003,2,543.0,0.0,63.0,7,2008
