lot_shape,utilities,land_slope,exter_qual,exter_cond,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_type_2,heating_qc,electrical,kitchen_abvgr,kitchen_qual,functional,fireplace_qu,garage_finish,garage_qual,garage_cond,paved_drive,Overall Qual,Overall Cond,SalePrice
0.0,0.0,0.0,2.0,4.0,2.0,4.0,3.0,2.0,5.0,0.0,4.0,1.0,0.0,7.0,0.0,0.0,4.0,4.0,2.0,8.0,5.0,278000.0
0.0,0.0,0.0,2.0,4.0,0.0,4.0,0.0,5.0,5.0,0.0,4.0,1.0,0.0,7.0,2.0,0.0,4.0,4.0,2.0,8.0,5.0,344133.0
0.0,0.0,0.0,3.0,2.0,2.0,4.0,3.0,0.0,5.0,0.0,4.0,1.0,3.0,7.0,2.0,0.0,4.0,4.0,2.0,6.0,7.0,185000.0
3.0,0.0,0.0,3.0,4.0,4.0,4.0,2.0,4.0,5.0,4.0,4.0,1.0,3.0,7.0,2.0,0.0,4.0,4.0,2.0,5.0,5.0,145000.0
0.0,0.0,0.0,3.0,4.0,4.0,4.0,3.0,4.0,5.0,0.0,4.0,1.0,3.0,7.0,4.0,1.0,4.0,4.0,2.0,6.0,6.0,187500.0
3.0,0.0,0.0,3.0,2.0,4.0,4.0,3.0,2.0,1.0,0.0,4.0,1.0,3.0,7.0,2.0,2.0,4.0,4.0,2.0,5.0,8.0,138500.0
0.0,0.0,1.0,3.0,4.0,4.0,4.0,3.0,1.0,5.0,0.0,4.0,1.0,2.0,3.0,2.0,2.0,4.0,4.0,2.0,5.0,6.0,198000.0
3.0,0.0,0.0,3.0,2.0,4.0,4.0,3.0,5.0,5.0,1.0,4.0,2.0,3.0,7.0,2.0,2.0,4.0,4.0,0.0,5.0,6.0,119600.0
3.0,0.0,0.0,3.0,2.0,4.0,4.0,2.0,5.0,5.0,0.0,4.0,1.0,3.0,7.0,3.0,2.0,4.0,4.0,2.0,5.0,7.0,122900.0
3.0,0.0,0.0,2.0,4.0,2.0,4.0,3.0,0.0,5.0,4.0,4.0,1.0,2.0,7.0,2.0,0.0,4.0,4.0,2.0,8.0,5.0,278000.0
0.0,0.0,1.0,3.0,4.0,2.0,4.0,3.0,5.0,5.0,1.0,4.0,1.0,2.0,7.0,2.0,2.0,4.0,4.0,2.0,8.0,7.0,230000.0
0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,3.0,2.0,0.0,4.0,1.0,0.0,7.0,2.0,0.0,4.0,4.0,2.0,8.0,5.0,270000.0
3.0,0.0,0.0,3.0,4.0,4.0,4.0,3.0,0.0,5.0,4.0,4.0,1.0,3.0,7.0,2.0,2.0,4.0,4.0,0.0,6.0,6.0,125000.0
3.0,0.0,0.0,2.0,4.0,0.0,4.0,1.0,2.0,5.0,0.0,4.0,1.0,2.0,7.0,2.0,1.0,4.0,4.0,2.0,8.0,5.0,297000.0
0.0,0.0,1.0,3.0,4.0,2.0,4.0,1.0,5.0,5.0,1.0,4.0,1.0,3.0,7.0,2.0,1.0,4.0,4.0,2.0,6.0,6.0,113500.0
3.0,0.0,0.0,3.0,4.0,4.0,4.0,3.0,0.0,4.0,0.0,4.0,1.0,3.0,7.0,4.0,1.0,4.0,4.0,2.0,5.0,6.0,127000.0
0.0,0.0,0.0,3.0,4.0,2.0,4.0,3.0,1.0,5.0,0.0,4.0,1.0,3.0,7.0,4.0,1.0,4.0,4.0,2.0,6.0,6.0,190000.0
3.0,0.0,0.0,3.0,4.0,4.0,4.0,3.0,0.0,5.0,1.0,4.0,1.0,3.0,7.0,4.0,2.0,4.0,4.0,2.0,7.0,6.0,175500.0
1.0,0.0,0.0,3.0,2.0,2.0,2.0,3.0,2.0,5.0,0.0,4.0,1.0,3.0,7.0,2.0,2.0,4.0,4.0,2.0,5.0,7.0,146000.0
3.0,0.0,0.0,2.0,4.0,4.0,4.0,3.0,1.0,3.0,2.0,4.0,1.0,3.0,7.0,2.0,0.0,4.0,4.0,2.0,5.0,6.0,147500.0
3.0,0.0,0.0,0.0,4.0,0.0,2.0,1.0,2.0,5.0,0.0,4.0,1.0,0.0,7.0,2.0,0.0,4.0,4.0,2.0,10.0,5.0,465000.0
0.0,0.0,0.0,3.0,2.0,2.0,4.0,0.0,2.0,5.0,0.0,4.0,1.0,2.0,7.0,4.0,0.0,4.0,4.0,2.0,5.0,6.0,165500.0
3.0,0.0,0.0,3.0,4.0,4.0,4.0,3.0,5.0,5.0,0.0,1.0,1.0,3.0,7.0,2.0,2.0,1.0,4.0,2.0,5.0,5.0,131500.0
3.0,0.0,0.0,3.0,4.0,4.0,4.0,3.0,4.0,5.0,0.0,4.0,1.0,3.0,7.0,2.0,2.0,4.0,4.0,2.0,5.0,5.0,129500.0
0.0,0.0,1.0,3.0,4.0,4.0,1.0,3.0,3.0,5.0,4.0,4.0,1.0,3.0,7.0,2.0,0.0,1.0,4.0,2.0,8.0,6.0,257076.0
3.0,0.0,0.0,3.0,4.0,4.0,4.0,3.0,3.0,1.0,0.0,4.0,1.0,3.0,3.0,2.0,2.0,4.0,4.0,2.0,5.0,5.0,117000.0
3.0,0.0,1.0,3.0,1.0,2.0,4.0,3.0,5.0,5.0,4.0,4.0,1.0,3.0,7.0,2.0,1.0,4.0,4.0,1.0,7.0,6.0,149000.0
3.0,0.0,0.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,1.0,3.0,7.0,2.0,1.0,4.0,4.0,2.0,5.0,5.0,128000.0
3.0,0.0,0.0,2.0,4.0,2.0,4.0,3.0,5.0,5.0,0.0,4.0,1.0,2.0,7.0,2.0,1.0,4.0,4.0,2.0,7.0,5.0,155000.0
3.0,0.0,0.0,2.0,4.0,2.0,4.0,3.0,2.0,5.0,0.0,4.0,1.0,2.0,7.0,2.0,2.0,4.0,4.0,2.0,6.0,5.0,166000.0
3.0,0.0,0.0,3.0,4.0,4.0,4.0,3.0,1.0,5.0,4.0,4.0,1.0,2.0,3.0,4.0,2.0,4.0,4.0,2.0,4.0,3.0,135000.0
0.0,0.0,0.0,3.0,4.0,2.0,4.0,3.0,1.0,3.0,4.0,4.0,1.0,2.0,7.0,4.0,1.0,4.0,4.0,2.0,7.0,5.0,250000.0
3.0,0.0,0.0,3.0,4.0,4.0,4.0,3.0,2.0,5.0,0.0,4.0,1.0,3.0,7.0,2.0,2.0,4.0,4.0,2.0,4.0,7.0,76000.0
3.0,0.0,0.0,3.0,4.0,4.0,4.0,3.0,5.0,5.0,4.0,4.0,1.0,2.0,7.0,2.0,2.0,4.0,4.0,2.0,6.0,6.0,155000.0
3.0,0.0,0.0,3.0,4.0,4.0,4.0,3.0,0.0,5.0,4.0,4.0,1.0,3.0,7.0,2.0,0.0,4.0,4.0,2.0,6.0,7.0,158000.0
3.0,0.0,0.0,2.0,4.0,2.0,4.0,3.0,2.0,0.0,0.0,4.0,1.0,2.0,7.0,2.0,1.0,4.0,4.0,2.0,7.0,5.0,149500.0
3.0,0.0,0.0,3.0,2.0,4.0,4.0,3.0,1.0,5.0,4.0,0.0,1.0,3.0,7.0,2.0,2.0,4.0,4.0,2.0,5.0,6.0,121000.0
3.0,0.0,0.0,3.0,4.0,4.0,4.0,3.0,4.0,0.0,4.0,1.0,1.0,3.0,7.0,2.0,0.0,4.0,4.0,2.0,6.0,7.0,136000.0
1.0,0.0,0.0,3.0,4.0,2.0,4.0,3.0,4.0,5.0,2.0,4.0,1.0,3.0,7.0,4.0,0.0,4.0,4.0,2.0,6.0,5.0,173000.0
0.0,0.0,0.0,2.0,4.0,2.0,4.0,3.0,2.0,5.0,0.0,4.0,1.0,2.0,7.0,2.0,0.0,4.0,4.0,2.0,8.0,7.0,290000.0
3.0,0.0,0.0,2.0,4.0,2.0,4.0,0.0,2.0,5.0,0.0,4.0,1.0,0.0,7.0,2.0,0.0,4.0,4.0,2.0,8.0,5.0,303477.0
0.0,0.0,1.0,2.0,2.0,2.0,4.0,1.0,0.0,5.0,2.0,4.0,1.0,3.0,7.0,4.0,1.0,4.0,4.0,2.0,7.0,7.0,270000.0
3.0,0.0,0.0,1.0,1.0,4.0,4.0,3.0,4.0,5.0,2.0,0.0,1.0,0.0,7.0,2.0,2.0,1.0,1.0,0.0,5.0,5.0,122250.0
3.0,0.0,0.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,2.0,0.0,1.0,2.0,7.0,2.0,2.0,4.0,4.0,2.0,5.0,5.0,153000.0
3.0,0.0,0.0,3.0,4.0,2.0,4.0,3.0,0.0,5.0,0.0,4.0,1.0,3.0,7.0,2.0,2.0,4.0,4.0,2.0,5.0,5.0,147000.0
3.0,0.0,0.0,3.0,4.0,2.0,4.0,3.0,2.0,5.0,4.0,4.0,1.0,3.0,7.0,2.0,2.0,4.0,4.0,2.0,7.0,8.0,148500.0
3.0,0.0,0.0,2.0,4.0,2.0,4.0,3.0,5.0,5.0,0.0,4.0,1.0,2.0,0.0,2.0,2.0,4.0,4.0,2.0,7.0,5.0,130000.0
0.0,0.0,1.0,0.0,4.0,0.0,4.0,1.0,5.0,5.0,0.0,4.0,1.0,0.0,7.0,2.0,0.0,4.0,4.0,2.0,9.0,5.0,372000.0
3.0,0.0,0.0,2.0,4.0,2.0,4.0,1.0,2.0,5.0,0.0,4.0,1.0,2.0,7.0,2.0,0.0,4.0,4.0,2.0,7.0,5.0,213490.0
1.0,0.0,0.0,2.0,4.0,2.0,4.0,1.0,2.0,5.0,0.0,4.0,1.0,2.0,7.0,4.0,1.0,4.0,4.0,2.0,7.0,5.0,308030.0
1.0,0.0,0.0,2.0,4.0,0.0,4.0,2.0,2.0,5.0,0.0,4.0,1.0,2.0,7.0,2.0,0.0,4.0,4.0,2.0,7.0,5.0,300000.0
3.0,0.0,0.0,3.0,4.0,4.0,4.0,2.0,0.0,5.0,0.0,4.0,1.0,3.0,7.0,1.0,0.0,4.0,4.0,2.0,6.0,6.0,159500.0
3.0,0.0,0.0,2.0,4.0,2.0,4.0,3.0,5.0,5.0,0.0,4.0,1.0,2.0,0.0,2.0,2.0,4.0,4.0,2.0,7.0,5.0,137500.0
3.0,0.0,0.0,2.0,4.0,2.0,4.0,0.0,5.0,5.0,0.0,4.0,1.0,2.0,7.0,2.0,1.0,4.0,4.0,2.0,7.0,5.0,232000.0
0.0,0.0,0.0,2.0,2.0,4.0,4.0,3.0,5.0,5.0,4.0,4.0,1.0,3.0,7.0,2.0,2.0,4.0,4.0,0.0,6.0,6.0,93850.0
3.0,0.0,0.0,3.0,4.0,4.0,4.0,3.0,5.0,5.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,1.0,1.0,0.0,5.0,5.0,105000.0
0.0,0.0,0.0,3.0,4.0,4.0,4.0,3.0,5.0,5.0,1.0,4.0,1.0,1.0,7.0,2.0,2.0,1.0,4.0,2.0,4.0,6.0,68500.0
3.0,0.0,0.0,3.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,0.0,2.0,3.0,7.0,2.0,2.0,4.0,4.0,2.0,5.0,5.0,154300.0
3.0,0.0,0.0,2.0,2.0,4.0,3.0,3.0,5.0,5.0,0.0,4.0,1.0,3.0,7.0,2.0,2.0,4.0,4.0,0.0,5.0,7.0,129850.0
3.0,0.0,0.0,3.0,4.0,4.0,4.0,3.0,1.0,5.0,0.0,4.0,1.0,3.0,7.0,2.0,2.0,1.0,1.0,2.0,5.0,7.0,114000.0
0.0,0.0,0.0,0.0,4.0,0.0,4.0,3.0,2.0,5.0,0.0,4.0,1.0,0.0,7.0,2.0,0.0,4.0,4.0,2.0,9.0,5.0,501837.0
0.0,0.0,0.0,3.0,4.0,4.0,4.0,2.0,5.0,5.0,2.0,4.0,1.0,3.0,7.0,2.0,2.0,4.0,4.0,2.0,5.0,8.0,153900.0
3.0,0.0,0.0,3.0,2.0,4.0,4.0,3.0,0.0,5.0,2.0,4.0,1.0,3.0,7.0,2.0,2.0,4.0,4.0,2.0,4.0,7.0,130000.0
3.0,0.0,0.0,3.0,4.0,0.0,4.0,3.0,2.0,5.0,0.0,4.0,1.0,3.0,7.0,2.0,1.0,4.0,4.0,2.0,6.0,5.0,160500.0
3.0,0.0,0.0,0.0,4.0,0.0,2.0,3.0,2.0,5.0,0.0,4.0,1.0,2.0,7.0,2.0,1.0,4.0,4.0,2.0,9.0,5.0,310090.0
3.0,0.0,0.0,2.0,4.0,2.0,4.0,3.0,2.0,5.0,0.0,4.0,1.0,2.0,7.0,2.0,1.0,4.0,4.0,2.0,7.0,5.0,184900.0
3.0,0.0,0.0,3.0,4.0,2.0,4.0,3.0,4.0,5.0,4.0,4.0,1.0,3.0,7.0,2.0,2.0,4.0,4.0,2.0,5.0,7.0,132000.0
3.0,0.0,0.0,3.0,4.0,2.0,4.0,2.0,0.0,4.0,4.0,4.0,1.0,3.0,7.0,1.0,1.0,4.0,4.0,2.0,5.0,5.0,163000.0
3.0,0.0,0.0,2.0,4.0,2.0,4.0,0.0,2.0,5.0,0.0,4.0,1.0,2.0,7.0,2.0,1.0,4.0,4.0,2.0,7.0,5.0,155000.0
0.0,0.0,0.0,3.0,4.0,4.0,4.0,0.0,2.0,5.0,2.0,4.0,1.0,3.0,7.0,2.0,1.0,4.0,4.0,2.0,6.0,6.0,183000.0
2.0,0.0,0.0,2.0,4.0,2.0,4.0,2.0,2.0,5.0,0.0,4.0,1.0,2.0,3.0,4.0,1.0,4.0,4.0,2.0,7.0,5.0,211000.0
3.0,0.0,0.0,2.0,4.0,2.0,4.0,3.0,3.0,2.0,0.0,4.0,1.0,2.0,7.0,2.0,1.0,4.0,4.0,2.0,7.0,5.0,184000.0
3.0,0.0,0.0,3.0,4.0,4.0,4.0,3.0,2.0,5.0,4.0,4.0,2.0,3.0,7.0,2.0,2.0,4.0,4.0,2.0,5.0,5.0,118858.0
0.0,0.0,0.0,3.0,4.0,4.0,4.0,0.0,2.0,5.0,4.0,4.0,1.0,3.0,7.0,2.0,1.0,4.0,4.0,2.0,5.0,7.0,180500.0
0.0,0.0,0.0,2.0,4.0,2.0,4.0,3.0,2.0,5.0,0.0,4.0,1.0,2.0,7.0,2.0,0.0,4.0,4.0,2.0,8.0,5.0,166000.0
3.0,0.0,0.0,3.0,4.0,4.0,4.0,0.0,1.0,5.0,0.0,4.0,1.0,3.0,7.0,4.0,1.0,4.0,4.0,2.0,6.0,5.0,148000.0
0.0,0.0,0.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,5.0,5.0,124000.0
3.0,0.0,0.0,0.0,4.0,0.0,4.0,3.0,2.0,5.0,0.0,4.0,1.0,0.0,7.0,2.0,0.0,4.0,4.0,2.0,9.0,5.0,277500.0
0.0,0.0,0.0,2.0,4.0,2.0,4.0,3.0,0.0,5.0,0.0,4.0,1.0,2.0,7.0,0.0,1.0,4.0,4.0,2.0,8.0,5.0,350000.0
0.0,0.0,0.0,0.0,4.0,0.0,4.0,1.0,2.0,5.0,0.0,4.0,1.0,0.0,7.0,2.0,0.0,4.0,4.0,2.0,9.0,5.0,387000.0
0.0,0.0,0.0,3.0,4.0,4.0,4.0,2.0,0.0,5.0,0.0,4.0,1.0,3.0,7.0,2.0,2.0,4.0,4.0,0.0,4.0,7.0,86000.0
3.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,4.0,0.0,4.0,1.0,0.0,7.0,2.0,1.0,4.0,4.0,2.0,8.0,9.0,290000.0
3.0,0.0,0.0,3.0,1.0,1.0,4.0,3.0,5.0,5.0,4.0,4.0,1.0,3.0,7.0,2.0,2.0,4.0,4.0,0.0,3.0,3.0,44000.0
0.0,0.0,0.0,3.0,4.0,0.0,4.0,3.0,0.0,5.0,0.0,4.0,1.0,2.0,7.0,4.0,0.0,4.0,4.0,2.0,6.0,5.0,215000.0
0.0,0.0,0.0,3.0,4.0,2.0,4.0,3.0,2.0,5.0,0.0,4.0,1.0,3.0,7.0,2.0,0.0,4.0,4.0,2.0,5.0,6.0,146500.0
3.0,0.0,0.0,2.0,4.0,2.0,4.0,3.0,2.0,5.0,0.0,4.0,1.0,2.0,7.0,2.0,2.0,4.0,4.0,2.0,7.0,5.0,165000.0
3.0,0.0,0.0,3.0,2.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,1.0,2.0,7.0,2.0,2.0,4.0,4.0,2.0,6.0,7.0,136000.0
0.0,0.0,2.0,3.0,4.0,2.0,4.0,1.0,0.0,5.0,0.0,4.0,1.0,0.0,2.0,2.0,2.0,4.0,4.0,2.0,6.0,6.0,252000.0
3.0,0.0,0.0,2.0,4.0,2.0,4.0,3.0,5.0,5.0,0.0,4.0,1.0,2.0,7.0,2.0,1.0,4.0,4.0,2.0,7.0,5.0,175500.0
3.0,0.0,0.0,3.0,4.0,4.0,4.0,3.0,0.0,5.0,4.0,0.0,1.0,3.0,7.0,2.0,2.0,4.0,4.0,2.0,5.0,6.0,150000.0
0.0,0.0,0.0,3.0,4.0,4.0,4.0,3.0,5.0,5.0,4.0,4.0,1.0,3.0,2.0,4.0,1.0,4.0,4.0,2.0,5.0,5.0,139900.0
3.0,0.0,0.0,3.0,4.0,4.0,4.0,3.0,5.0,5.0,4.0,4.0,1.0,3.0,7.0,2.0,2.0,4.0,4.0,1.0,5.0,7.0,162900.0
0.0,0.0,0.0,3.0,4.0,4.0,4.0,3.0,5.0,5.0,4.0,4.0,1.0,3.0,7.0,2.0,2.0,4.0,4.0,2.0,6.0,6.0,160000.0
3.0,0.0,0.0,3.0,4.0,4.0,4.0,3.0,2.0,5.0,1.0,4.0,1.0,1.0,3.0,2.0,2.0,4.0,4.0,0.0,2.0,2.0,63900.0
3.0,0.0,0.0,3.0,4.0,4.0,4.0,3.0,0.0,5.0,2.0,4.0,1.0,3.0,7.0,4.0,0.0,4.0,4.0,2.0,6.0,5.0,184000.0
3.0,0.0,0.0,3.0,4.0,4.0,4.0,3.0,1.0,5.0,4.0,4.0,1.0,1.0,7.0,2.0,0.0,4.0,4.0,2.0,5.0,4.0,149900.0
0.0,0.0,0.0,2.0,4.0,2.0,4.0,0.0,2.0,5.0,0.0,4.0,1.0,0.0,7.0,4.0,0.0,4.0,4.0,2.0,9.0,5.0,300000.0
3.0,0.0,0.0,3.0,4.0,4.0,4.0,2.0,4.0,5.0,2.0,4.0,1.0,3.0,4.0,4.0,2.0,4.0,4.0,2.0,5.0,3.0,145000.0
0.0,0.0,0.0,3.0,4.0,2.0,4.0,3.0,2.0,5.0,0.0,4.0,1.0,2.0,7.0,2.0,1.0,4.0,4.0,2.0,6.0,5.0,231500.0
3.0,0.0,0.0,3.0,4.0,4.0,4.0,3.0,1.0,5.0,0.0,4.0,1.0,3.0,7.0,2.0,2.0,4.0,4.0,2.0,5.0,6.0,108000.0
3.0,0.0,0.0,3.0,4.0,4.0,4.0,3.0,4.0,1.0,4.0,4.0,1.0,3.0,7.0,2.0,1.0,4.0,4.0,2.0,5.0,5.0,120000.0
0.0,0.0,0.0,3.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,1.0,3.0,7.0,2.0,2.0,4.0,4.0,2.0,5.0,5.0,128500.0
3.0,0.0,0.0,3.0,4.0,4.0,4.0,3.0,5.0,5.0,2.0,0.0,1.0,3.0,7.0,2.0,2.0,4.0,4.0,2.0,5.0,6.0,115000.0
3.0,0.0,0.0,3.0,4.0,4.0,4.0,3.0,3.0,5.0,4.0,4.0,1.0,3.0,7.0,2.0,2.0,4.0,4.0,2.0,5.0,7.0,110000.0
0.0,0.0,0.0,2.0,2.0,2.0,4.0,3.0,2.0,5.0,4.0,4.0,1.0,2.0,7.0,2.0,1.0,4.0,4.0,2.0,9.0,3.0,150000.0
0.0,0.0,0.0,2.0,4.0,0.0,2.0,0.0,5.0,5.0,0.0,4.0,1.0,2.0,7.0,2.0,0.0,4.0,4.0,2.0,8.0,5.0,178000.0
0.0,0.0,0.0,3.0,4.0,4.0,4.0,3.0,5.0,5.0,0.0,4.0,1.0,2.0,7.0,2.0,2.0,4.0,4.0,2.0,7.0,7.0,199500.0
0.0,0.0,0.0,3.0,4.0,4.0,4.0,3.0,2.0,5.0,0.0,4.0,1.0,3.0,7.0,4.0,0.0,4.0,4.0,2.0,6.0,5.0,183500.0
3.0,0.0,0.0,1.0,4.0,2.0,4.0,2.0,4.0,5.0,0.0,4.0,1.0,3.0,4.0,3.0,2.0,4.0,4.0,2.0,5.0,5.0,126000.0
3.0,0.0,0.0,3.0,4.0,2.0,4.0,3.0,0.0,5.0,1.0,4.0,1.0,3.0,7.0,2.0,2.0,4.0,4.0,2.0,7.0,6.0,148500.0
3.0,0.0,0.0,3.0,2.0,4.0,4.0,3.0,5.0,5.0,0.0,4.0,1.0,2.0,7.0,2.0,2.0,4.0,4.0,2.0,5.0,7.0,149000.0
3.0,0.0,0.0,3.0,4.0,2.0,4.0,3.0,0.0,5.0,4.0,4.0,1.0,3.0,7.0,4.0,2.0,4.0,4.0,2.0,6.0,5.0,137900.0
0.0,0.0,0.0,2.0,4.0,2.0,4.0,1.0,2.0,5.0,0.0,4.0,1.0,2.0,7.0,2.0,0.0,4.0,4.0,2.0,8.0,5.0,324000.0
3.0,0.0,0.0,3.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,0.0,1.0,3.0,7.0,2.0,2.0,4.0,4.0,2.0,5.0,6.0,98000.0
3.0,0.0,0.0,3.0,4.0,4.0,4.0,3.0,3.0,5.0,4.0,4.0,1.0,3.0,7.0,2.0,2.0,4.0,4.0,2.0,6.0,5.0,103400.0
3.0,0.0,0.0,3.0,2.0,4.0,4.0,3.0,5.0,5.0,2.0,4.0,1.0,3.0,7.0,2.0,2.0,4.0,4.0,0.0,5.0,8.0,94000.0
3.0,0.0,0.0,2.0,4.0,2.0,2.0,2.0,2.0,5.0,0.0,4.0,1.0,2.0,7.0,2.0,1.0,4.0,4.0,2.0,8.0,5.0,209500.0
0.0,0.0,0.0,0.0,4.0,0.0,4.0,1.0,5.0,5.0,0.0,4.0,1.0,0.0,7.0,0.0,0.0,4.0,4.0,2.0,10.0,5.0,545224.0
3.0,0.0,0.0,2.0,2.0,4.0,4.0,3.0,5.0,5.0,0.0,4.0,1.0,2.0,7.0,2.0,2.0,4.0,4.0,0.0,6.0,8.0,159900.0
3.0,0.0,0.0,3.0,4.0,4.0,4.0,3.0,3.0,5.0,0.0,4.0,1.0,3.0,7.0,2.0,2.0,4.0,4.0,2.0,4.0,5.0,141000.0
0.0,0.0,0.0,3.0,4.0,2.0,4.0,3.0,0.0,5.0,0.0,4.0,1.0,3.0,7.0,4.0,0.0,4.0,4.0,2.0,6.0,5.0,215000.0
0.0,0.0,0.0,3.0,2.0,4.0,4.0,3.0,0.0,5.0,0.0,4.0,1.0,3.0,7.0,2.0,2.0,4.0,4.0,2.0,5.0,8.0,127000.0
3.0,0.0,0.0,3.0,4.0,4.0,4.0,0.0,1.0,5.0,4.0,4.0,1.0,3.0,7.0,2.0,0.0,4.0,4.0,2.0,5.0,7.0,128000.0
0.0,0.0,0.0,2.0,4.0,0.0,3.0,3.0,2.0,5.0,0.0,4.0,1.0,2.0,7.0,2.0,1.0,4.0,4.0,2.0,8.0,5.0,267916.0
3.0,0.0,0.0,3.0,4.0,4.0,1.0,3.0,3.0,5.0,4.0,0.0,1.0,3.0,7.0,2.0,2.0,4.0,4.0,2.0,6.0,6.0,127500.0
3.0,0.0,0.0,2.0,4.0,4.0,4.0,3.0,2.0,5.0,0.0,4.0,1.0,2.0,7.0,0.0,1.0,4.0,4.0,2.0,7.0,5.0,198500.0
