ms_subclass,ms_zoning,street,land_contour,lot_config,neighborhood,condition_1,condition_2,bldg_type,house_style,roof_style,roof_matl,exterior_1st,exterior_2nd,mas_vnr_type,foundation,heating,central_air,garage_type,sale_type
1story_1946_&_newer_all_styles,RL,Pave,Lvl,Inside,Sawyer,RRAe,Norm,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,None,CBlock,GasA,Y,Detchd,WD 
11/2_story_finished_all_ages,RL,Pave,HLS,Inside,Crawfor,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,WdShing,Wd Shng,None,CBlock,GasA,Y,Detchd,WD 
2_family_conversion__all_styles_and_ages,C (all),Pave,Lvl,Inside,IDOTRR,Feedr,Norm,2fmCon,2Story,Gable,CompShg,VinylSd,VinylSd,None,CBlock,GasA,N,Attchd,WD 
11/2_story_finished_all_ages,RL,Pave,Lvl,Corner,NAmes,Artery,Norm,1Fam,1.5Fin,Gable,CompShg,MetalSd,MetalSd,None,CBlock,GasA,Y,Detchd,WD 
1story_1946_&_newer_all_styles,RL,Pave,Lvl,Inside,NWAmes,PosN,Norm,1Fam,1Story,Hip,WdShngl,BrkFace,BrkFace,None,PConc,GasA,Y,Attchd,WD 
2story_1945_&_older,RL,Pave,HLS,Corner,Crawfor,Norm,Norm,1Fam,2Story,Gable,CompShg,BrkFace,Stucco,None,PConc,GasA,Y,Detchd,WD 
1story_pud_(planned_unit_development)__1946_&_newer,RL,Pave,Lvl,CulDSac,Veenker,Norm,Norm,TwnhsE,1Story,Hip,CompShg,BrkFace,BrkFace,None,PConc,GasA,Y,Attchd,WD 
1story_1946_&_newer_all_styles,RL,Pave,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,Wd Sdng,Wd Sdng,None,CBlock,GasA,Y,Detchd,WD 
1story_1946_&_newer_all_styles,RL,Pave,Lvl,Inside,CollgCr,Norm,Norm,1Fam,1Story,Hip,CompShg,VinylSd,VinylSd,Stone,PConc,GasA,Y,Attchd,WD 
1story_1946_&_newer_all_styles,RL,Pave,HLS,Inside,NAmes,Norm,Norm,1Fam,1Story,Flat,Tar&Grv,Wd Sdng,Wd Sdng,BrkFace,CBlock,GasA,Y,Basment,WD 
2story_pud__1946_&_newer,RM,Pave,Lvl,Inside,MeadowV,Norm,Norm,TwnhsE,2Story,Gable,CompShg,CemntBd,CmentBd,None,PConc,GasA,Y,Attchd,WD 
1story_1946_&_newer_all_styles,RL,Pave,Lvl,Inside,NWAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,Plywood,Plywood,BrkFace,CBlock,GasA,Y,Attchd,COD
1story_1946_&_newer_all_styles,RL,Pave,Lvl,Inside,NWAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,HdBoard,HdBoard,BrkFace,CBlock,GasA,Y,Attchd,WD 
1story_1946_&_newer_all_styles,RL,Pave,Lvl,Inside,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,PConc,GasA,Y,Detchd,WD 
1story_1946_&_newer_all_styles,RL,Pave,Lvl,Inside,Edwards,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,None,CBlock,GasA,Y,Attchd,WD 
1story_1946_&_newer_all_styles,RL,Pave,Lvl,Inside,NridgHt,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,PConc,GasA,Y,Attchd,New
split_foyer,RL,Pave,Lvl,Corner,Mitchel,Norm,Norm,1Fam,SFoyer,Gable,CompShg,Plywood,Plywood,BrkFace,PConc,GasA,Y,Attchd,WD 
11/2_story_finished_all_ages,RM,Pave,Lvl,Inside,OldTown,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,MetalSd,MetalSd,BrkFace,BrkTil,GasA,N,Attchd,WD 
1story_1946_&_newer_all_styles,RL,Pave,Lvl,Inside,Sawyer,Norm,Norm,1Fam,1Story,Hip,CompShg,HdBoard,HdBoard,None,CBlock,GasA,Y,Detchd,WD 
2story_1945_&_older,RL,Pave,HLS,Inside,Crawfor,Norm,Norm,1Fam,2Story,Gable,CompShg,BrkFace,Stucco,Stone,PConc,GasA,Y,Detchd,WD 
11/2_story_finished_all_ages,RL,Pave,Lvl,Inside,Edwards,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,Wd Sdng,Wd Sdng,None,CBlock,GasA,Y,Detchd,WD 
2story_1945_&_older,RL,Pave,HLS,Inside,Crawfor,Norm,Norm,1Fam,2Story,Gable,CompShg,Stucco,Wd Shng,None,BrkTil,GasA,Y,Attchd,WD 
1story_1946_&_newer_all_styles,RL,Pave,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,Stone,CBlock,GasA,Y,Attchd,WD 
2story_pud__1946_&_newer,RL,Pave,Lvl,Inside,NridgHt,Norm,Norm,Twnhs,2Story,Gable,CompShg,VinylSd,Wd Shng,Stone,PConc,GasA,Y,BuiltIn,WD 
2story_pud__1946_&_newer,FV,Pave,Lvl,Inside,Somerst,Norm,Norm,TwnhsE,2Story,Gable,CompShg,MetalSd,MetalSd,BrkFace,PConc,GasA,Y,Detchd,WD 
11/2_story_finished_all_ages,RL,Pave,Lvl,Inside,SWISU,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,WdShing,Plywood,None,BrkTil,GasA,Y,Detchd,WD 
2story_1946_&_newer,RL,Pave,Lvl,Inside,NWAmes,RRAn,Norm,1Fam,2Story,Gable,CompShg,Plywood,Plywood,BrkFace,CBlock,GasA,Y,Attchd,WD 
2story_pud__1946_&_newer,RM,Pave,Lvl,Inside,MeadowV,Norm,Norm,Twnhs,2Story,Gable,CompShg,CemntBd,CmentBd,None,CBlock,GasA,Y,Attchd,WD 
1story_1946_&_newer_all_styles,RL,Pave,Lvl,Corner,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,CBlock,GasA,Y,Attchd,WD 
2story_1946_&_newer,RL,Pave,Lvl,Corner,Sawyer,Norm,Norm,1Fam,2Story,Gable,CompShg,HdBoard,HdBoard,Stone,CBlock,GasA,Y,Attchd,WD 
2story_pud__1946_&_newer,FV,Pave,Lvl,Inside,Somerst,Norm,Norm,Twnhs,2Story,Gable,CompShg,MetalSd,MetalSd,None,PConc,GasA,Y,Detchd,WD 
1story_1946_&_newer_all_styles,RL,Pave,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,None,CBlock,GasA,Y,Attchd,WD 
1story_1946_&_newer_all_styles,RL,Pave,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,Wd Sdng,Wd Sdng,None,CBlock,GasA,Y,Attchd,WD 
2story_1946_&_newer,RL,Pave,Lvl,Corner,Gilbert,Norm,Norm,1Fam,2Story,Gable,CompShg,HdBoard,HdBoard,None,PConc,GasA,Y,Attchd,WD 
2story_1946_&_newer,RL,Pave,Lvl,CulDSac,NoRidge,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,PConc,GasA,Y,Attchd,WD 
2story_1946_&_newer,FV,Pave,Lvl,Inside,Somerst,Norm,Norm,1Fam,2Story,Gable,CompShg,CemntBd,CmentBd,None,PConc,GasA,Y,BuiltIn,New
1story_1946_&_newer_all_styles,RL,Pave,Low,Inside,ClearCr,Norm,Norm,1Fam,1Story,Hip,CompShg,Wd Sdng,Wd Sdng,None,CBlock,GasA,Y,Attchd,WD 
11/2_story_finished_all_ages,RM,Pave,Lvl,Corner,OldTown,Artery,Norm,1Fam,1.5Fin,Gable,CompShg,WdShing,Wd Shng,None,BrkTil,GasA,N,Detchd,WD 
1story_1946_&_newer_all_styles,RL,Pave,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,AsbShng,AsbShng,None,CBlock,GasA,Y,Attchd,WD 
1story_1946_&_newer_all_styles,RL,Pave,Lvl,Inside,Mitchel,Feedr,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,PConc,GasA,Y,Attchd,New
2story_1945_&_older,RL,Pave,Lvl,Inside,Crawfor,Norm,Norm,1Fam,2Story,Gable,CompShg,Wd Sdng,Wd Sdng,None,BrkTil,GasA,Y,Detchd,WD 
2story_pud__1946_&_newer,RM,Pave,Lvl,Inside,Edwards,Norm,Norm,TwnhsE,2Story,Gable,CompShg,VinylSd,VinylSd,Stone,PConc,GasA,Y,Detchd,WD 
1story_1946_&_newer_all_styles,RL,Pave,HLS,Corner,NridgHt,Norm,Norm,1Fam,1Story,Hip,CompShg,MetalSd,MetalSd,Stone,PConc,GasA,Y,Attchd,WD 
1story_pud_(planned_unit_development)__1946_&_newer,RL,Pave,Lvl,Inside,Blmngtn,Norm,Norm,TwnhsE,1Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,PConc,GasA,Y,Attchd,WD 
1story_1946_&_newer_all_styles,RL,Pave,Lvl,Inside,Edwards,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,Stone,PConc,GasA,Y,Attchd,Con
1story_1946_&_newer_all_styles,RL,Pave,Lvl,Inside,Mitchel,Norm,Norm,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,BrkFace,PConc,GasA,Y,Attchd,WD 
1story_1946_&_newer_all_styles,RL,Pave,Lvl,Corner,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,BrkFace,BrkFace,None,CBlock,GasA,Y,BuiltIn,WD 
2story_pud__1946_&_newer,RM,Pave,Lvl,Inside,Edwards,Norm,Norm,Twnhs,2Story,Gable,CompShg,VinylSd,VinylSd,Stone,PConc,GasA,Y,Detchd,WD 
1story_1946_&_newer_all_styles,RL,Pave,Lvl,Inside,Somerst,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,PConc,GasA,Y,Attchd,WD 
1story_1945_&_older,RM,Grvl,Lvl,Inside,IDOTRR,RRNe,Norm,1Fam,1Story,Gable,CompShg,Stucco,Wd Shng,None,BrkTil,GasA,Y,Detchd,WD 
1story_1945_&_older,RL,Pave,Lvl,Inside,Sawyer,Norm,Norm,1Fam,1Story,Gable,CompShg,BrkFace,Wd Sdng,Stone,BrkTil,GasA,N,Detchd,WD 
1story_1945_&_older,RM,Pave,Lvl,Inside,BrkSide,Feedr,RRNn,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,None,BrkTil,GasA,N,Detchd,WD 
duplex__all_styles_and_ages,RL,Pave,Lvl,Corner,NAmes,Feedr,Norm,Duplex,2Story,Gable,CompShg,MetalSd,MetalSd,BrkFace,CBlock,GasA,Y,Detchd,WD 
11/2_story_finished_all_ages,RM,Pave,Lvl,Inside,IDOTRR,Artery,Norm,1Fam,1.5Fin,Gable,CompShg,VinylSd,VinylSd,None,BrkTil,GasA,Y,Attchd,WD 
2story_1945_&_older,RM,Pave,Lvl,Inside,OldTown,Norm,Norm,1Fam,2Story,Gable,CompShg,MetalSd,MetalSd,None,BrkTil,GasA,Y,Detchd,WD 
1story_1946_&_newer_all_styles,RL,Pave,Lvl,CulDSac,StoneBr,Norm,Norm,1Fam,1Story,Hip,CompShg,VinylSd,VinylSd,Stone,PConc,GasA,Y,Attchd,New
11/2_story_finished_all_ages,RM,Pave,Lvl,Inside,OldTown,Artery,Norm,1Fam,1.5Fin,Gable,CompShg,Wd Sdng,Wd Sdng,None,BrkTil,GasA,Y,Detchd,WD 
1story_1946_&_newer_all_styles,RL,Pave,Lvl,FR2,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,CBlock,GasA,Y,Detchd,WD 
1story_pud_(planned_unit_development)__1946_&_newer,RM,Pave,Lvl,FR2,Mitchel,Norm,Norm,TwnhsE,1Story,Hip,CompShg,VinylSd,VinylSd,BrkFace,PConc,GasA,Y,Attchd,WD 
1story_pud_(planned_unit_development)__1946_&_newer,RL,Pave,Lvl,Inside,NridgHt,Norm,Norm,TwnhsE,1Story,Hip,CompShg,MetalSd,MetalSd,BrkFace,PConc,GasA,Y,Attchd,New
1story_1946_&_newer_all_styles,RL,Pave,Lvl,Inside,SawyerW,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,PConc,GasA,Y,Attchd,WD 
1story_1946_&_newer_all_styles,RL,Pave,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,Wd Sdng,Wd Sdng,None,CBlock,GasA,Y,Attchd,WD 
1story_1946_&_newer_all_styles,RL,Pave,Lvl,Inside,NWAmes,Feedr,Norm,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,BrkFace,CBlock,GasA,Y,Attchd,WD 
2story_pud__1946_&_newer,FV,Pave,Lvl,Inside,Somerst,Norm,Norm,TwnhsE,2Story,Gable,CompShg,MetalSd,MetalSd,BrkFace,PConc,GasA,Y,Detchd,ConLD
split_or_multilevel,RL,Pave,Lvl,Inside,NWAmes,Norm,Norm,1Fam,SLvl,Gable,CompShg,MetalSd,MetalSd,None,CBlock,GasA,Y,Attchd,WD 
2story_1946_&_newer,RL,Pave,Lvl,Corner,CollgCr,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,PConc,GasA,Y,Attchd,WD 
2story_1946_&_newer,RL,Pave,Lvl,Inside,SawyerW,RRAe,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,None,PConc,GasA,Y,Attchd,WD 
duplex__all_styles_and_ages,RL,Pave,Bnk,Inside,SawyerW,Norm,Norm,Duplex,1Story,Gable,CompShg,HdBoard,HdBoard,None,Slab,GasA,Y,Attchd,WD 
split_or_multilevel,RL,Pave,Lvl,Corner,NAmes,Norm,Norm,1Fam,SLvl,Hip,CompShg,Wd Sdng,HdBoard,BrkFace,PConc,GasA,Y,Attchd,WD 
1story_pud_(planned_unit_development)__1946_&_newer,FV,Pave,Lvl,Inside,Somerst,Norm,Norm,TwnhsE,1Story,Gable,CompShg,VinylSd,VinylSd,Stone,PConc,GasA,Y,Attchd,New
split_or_multilevel,RL,Pave,Lvl,Inside,Sawyer,Norm,Norm,1Fam,SLvl,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,CBlock,GasA,Y,Attchd,COD
1story_1946_&_newer_all_styles,RL,Pave,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,Wd Sdng,Wd Sdng,None,CBlock,GasA,Y,Detchd,WD 
1story_pud_(planned_unit_development)__1946_&_newer,RL,Pave,Lvl,Inside,NridgHt,Norm,Norm,TwnhsE,1Story,Hip,CompShg,MetalSd,MetalSd,BrkFace,PConc,GasA,Y,Attchd,WD 
2story_1946_&_newer,RL,Pave,Lvl,Inside,NoRidge,Norm,Norm,1Fam,2Story,Hip,CompShg,VinylSd,VinylSd,BrkFace,PConc,GasA,Y,Attchd,WD 
1story_1946_&_newer_all_styles,RL,Pave,HLS,CulDSac,StoneBr,Norm,Norm,1Fam,1Story,Hip,CompShg,VinylSd,VinylSd,BrkFace,PConc,GasA,Y,Attchd,WD 
1story_1945_&_older,RL,Pave,Lvl,Inside,Edwards,Norm,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,None,BrkTil,GasA,Y,Attchd,WD 
1story_1946_&_newer_all_styles,RL,Pave,Lvl,Inside,Veenker,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,CBlock,GasA,Y,Attchd,WD 
1story_1945_&_older,C (all),Pave,Lvl,Corner,IDOTRR,Norm,Norm,1Fam,1Story,Mansard,CompShg,AsbShng,AsbShng,None,CBlock,GasA,N,Attchd,WD 
2story_1946_&_newer,RL,Pave,Lvl,CulDSac,Mitchel,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,None,PConc,GasA,Y,BuiltIn,WD 
2_family_conversion__all_styles_and_ages,RL,Pave,Lvl,Corner,NWAmes,RRAn,Feedr,2fmCon,1Story,Gable,CompShg,Plywood,Plywood,BrkFace,CBlock,GasA,Y,Attchd,WD 
2story_pud__1946_&_newer,FV,Pave,Lvl,FR2,Somerst,Norm,Norm,Twnhs,2Story,Gable,CompShg,MetalSd,MetalSd,None,PConc,GasA,Y,Detchd,WD 
11/2_story_finished_all_ages,RM,Pave,Lvl,Inside,OldTown,Artery,Norm,1Fam,1.5Fin,Gable,CompShg,Stucco,Stucco,None,BrkTil,GasW,N,Detchd,CWD
1story_1946_&_newer_all_styles,RL,Pave,Low,CulDSac,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,Stone,CBlock,GasA,Y,Attchd,WD 
2story_pud__1946_&_newer,RL,Pave,Lvl,Inside,NridgHt,Norm,Norm,Twnhs,2Story,Gable,CompShg,VinylSd,Wd Shng,Stone,PConc,GasA,Y,BuiltIn,WD 
2story_1945_&_older,RM,Pave,Lvl,Inside,OldTown,Norm,Norm,1Fam,2Story,Gable,CompShg,Wd Sdng,Wd Sdng,None,BrkTil,GasA,Y,Detchd,WD 
1story_1946_&_newer_all_styles,RL,Pave,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,Wd Sdng,Wd Sdng,None,CBlock,GasA,Y,Attchd,WD 
11/2_story_finished_all_ages,RM,Pave,Lvl,Inside,BrkSide,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,MetalSd,MetalSd,None,PConc,GasA,Y,Detchd,WD 
1story_1946_&_newer_all_styles,RL,Pave,Lvl,Corner,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,CBlock,GasA,Y,Attchd,WD 
1story_1946_&_newer_all_styles,RL,Pave,Lvl,Corner,Sawyer,Norm,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,None,Slab,GasA,N,Attchd,WD 
1story_1946_&_newer_all_styles,RL,Pave,Lvl,Inside,NWAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,BrkFace,PConc,GasA,Y,Attchd,WD 
1story_1946_&_newer_all_styles,RL,Pave,Lvl,Inside,Edwards,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,Plywood,BrkFace,CBlock,GasA,Y,Attchd,WD 
1story_pud_(planned_unit_development)__1946_&_newer,FV,Pave,Lvl,Inside,Somerst,Norm,Norm,TwnhsE,1Story,Hip,CompShg,MetalSd,MetalSd,BrkFace,PConc,GasA,Y,Attchd,WD 
2_family_conversion__all_styles_and_ages,RL,Pave,Lvl,Corner,ClearCr,Norm,Norm,1Fam,1Story,Flat,Tar&Grv,Plywood,Plywood,Stone,CBlock,GasA,Y,Basment,WD 
2story_1946_&_newer,RL,Pave,Lvl,Inside,CollgCr,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,None,PConc,GasA,Y,Attchd,WD 
1story_1945_&_older,RL,Pave,Lvl,Inside,Edwards,Norm,Norm,1Fam,1Story,Gable,CompShg,WdShing,Wd Shng,None,CBlock,GasA,Y,Attchd,WD 
1story_1946_&_newer_all_styles,RL,Pave,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,BrkFace,BrkFace,None,CBlock,GasA,Y,Attchd,COD
1story_1946_&_newer_all_styles,RL,Pave,Lvl,Inside,Sawyer,Norm,Norm,1Fam,1Story,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,CBlock,GasA,Y,Detchd,WD 
1story_1945_&_older,RM,Pave,Lvl,Inside,OldTown,Artery,Norm,1Fam,1Story,Gable,CompShg,WdShing,Wd Shng,None,CBlock,GasA,Y,Detchd,WD 
11/2_story_finished_all_ages,RM,Pave,Lvl,Inside,OldTown,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,AsbShng,AsbShng,None,CBlock,GasA,Y,Detchd,WD 
2story_1946_&_newer,RL,Pave,Lvl,CulDSac,Veenker,Norm,Norm,1Fam,2Story,Mansard,CompShg,Wd Sdng,Wd Sdng,BrkFace,CBlock,GasA,Y,Attchd,WD 
2story_1946_&_newer,RL,Pave,Lvl,Inside,Gilbert,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,None,PConc,GasA,Y,Attchd,WD 
2story_1945_&_older,RL,Pave,HLS,Inside,Crawfor,Norm,Norm,1Fam,2Story,Gable,CompShg,Wd Sdng,Wd Sdng,None,BrkTil,GasA,Y,2Types,WD 
2story_1946_&_newer,RL,Pave,Lvl,Inside,Gilbert,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,None,PConc,GasA,Y,Attchd,WD 
split_or_multilevel,RM,Pave,Lvl,Inside,IDOTRR,Norm,Norm,1Fam,SLvl,Hip,CompShg,HdBoard,Plywood,None,CBlock,GasA,Y,Attchd,WD 
1story_pud_(planned_unit_development)__1946_&_newer,RL,Pave,Lvl,Inside,NPkVill,Norm,Norm,Twnhs,1Story,Gable,CompShg,Plywood,Brk Cmn,None,CBlock,GasA,Y,Attchd,WD 
2story_1946_&_newer,RL,Pave,Lvl,Inside,OldTown,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,None,BrkTil,GasA,Y,Detchd,WD 
2story_pud__1946_&_newer,RL,Pave,Lvl,Inside,NPkVill,Norm,Norm,Twnhs,2Story,Gable,CompShg,Plywood,Brk Cmn,None,CBlock,GasA,Y,Attchd,WD 
1story_pud_(planned_unit_development)__1946_&_newer,RL,Pave,Lvl,CulDSac,Veenker,Norm,Norm,TwnhsE,1Story,Gable,CompShg,BrkFace,BrkFace,None,PConc,GasA,Y,Attchd,Con
1story_1945_&_older,RL,Pave,Lvl,Inside,Edwards,Norm,Norm,1Fam,1Story,Gable,CompShg,Stucco,Stucco,None,CBlock,GasA,N,Attchd,WD 
2story_pud__1946_&_newer,RM,Pave,Lvl,Inside,BrDale,Norm,Norm,Twnhs,2Story,Gable,CompShg,HdBoard,HdBoard,BrkFace,CBlock,GasA,Y,Detchd,WD 
11/2_story_finished_all_ages,RL,Pave,Lvl,Inside,Sawyer,Feedr,Norm,1Fam,1.5Fin,Gable,CompShg,VinylSd,VinylSd,None,CBlock,GasA,N,Attchd,WD 
1story_pud_(planned_unit_development)__1946_&_newer,RL,Pave,Lvl,Inside,NridgHt,Norm,Norm,Twnhs,1Story,Gable,CompShg,VinylSd,VinylSd,Stone,PConc,GasA,Y,Attchd,WD 
