lot_frontage,year_remod/add,mas_vnr_area,bsmtfin_sf_1,total_bsmt_sf,1st_flr_sf,gr_liv_area,bsmt_full_bath,full_bath,totrms_abvgrd,fireplaces,garage_area,wood_deck_sf,open_porch_sf,ms_subclass_11/2_story_finished_all_ages,ms_subclass_1story_1946_&_newer_all_styles,ms_subclass_1story_pud_(planned_unit_development)__1946_&_newer,ms_subclass_2story_1946_&_newer,ms_subclass_Others,ms_zoning_A (agr),ms_zoning_C (all),ms_zoning_FV,ms_zoning_RH,street_Grvl,street_Pave,land_contour_Bnk,land_contour_HLS,land_contour_Low,neighborhood_CollgCr,neighborhood_Gilbert,neighborhood_Others,bldg_type_2fmCon,bldg_type_Duplex,bldg_type_Twnhs,bldg_type_TwnhsE,roof_style_Flat,roof_style_Gambrel,roof_style_Hip,roof_style_Mansard,roof_style_Shed,mas_vnr_type_BrkCmn,mas_vnr_type_BrkFace,mas_vnr_type_Stone,central_air_N,central_air_Y,garage_type_2Types,garage_type_Attchd,garage_type_Basment,garage_type_BuiltIn,garage_type_CarPort,garage_type_Detchd,sale_type_COD,sale_type_CWD,sale_type_Con,sale_type_ConLD,sale_type_ConLI,sale_type_ConLw,sale_type_New,sale_type_Oth,lot_shape,exter_qual,bsmt_cond,heating_qc,garage_qual,garage_cond
21.0,1971,232.0,387.0,483.0,483.0,987.0,0,1,4,0,264.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.0,1.0,3.0,2.0,2.0,2.0
64.0,2005,0.0,393.0,1208.0,1208.0,1208.0,0,2,6,0,632.0,105.0,58.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2.0,3.0,4.0,2.0,2.0
120.0,2007,0.0,0.0,0.0,1288.0,2016.0,0,1,7,1,576.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,0.0,4.0,2.0,2.0
24.0,2000,456.0,813.0,960.0,962.0,1607.0,1,2,7,0,480.0,169.0,0.0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.0,2.0,3.0,4.0,2.0,2.0
74.0,2007,0.0,24.0,1351.0,1361.0,1361.0,0,2,6,0,610.0,0.0,50.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,3.0,4.0,2.0,2.0
93.0,2005,0.0,0.0,1430.0,1430.0,1430.0,0,2,7,0,624.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,3.0,4.0,2.0,2.0
34.0,1950,0.0,0.0,624.0,624.0,1344.0,0,1,7,0,513.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.0,1.0,3.0,1.0,1.0,1.0
80.0,1963,0.0,651.0,1121.0,1121.0,1121.0,1,1,5,0,480.0,0.0,80.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,1.0,3.0,2.0,2.0,2.0
71.0,1977,148.0,0.0,660.0,1285.0,1285.0,0,1,7,1,528.0,138.0,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,3.0,4.0,2.0,2.0
72.0,2009,0.0,24.0,756.0,764.0,1547.0,0,2,7,0,614.0,169.0,45.0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,1.0,3.0,4.0,2.0,2.0
109.0,1968,0.0,492.0,894.0,894.0,894.0,0,1,5,1,450.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,3.0,3.0,2.0,2.0
40.0,2000,0.0,1158.0,1501.0,1659.0,1659.0,1,2,5,1,499.0,212.0,59.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2.0,3.0,4.0,2.0,2.0
103.0,2006,99.7,0.0,1209.0,1209.0,2253.0,0,2,8,1,575.0,243.0,142.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1.0,2.0,3.0,4.0,2.0,2.0
69.06,2007,0.0,935.0,1168.0,1187.0,1187.0,1,2,6,0,420.0,483.0,21.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,3.0,4.0,2.0,2.0
100.0,1955,0.0,1056.0,1056.0,1056.0,1056.0,1,1,5,0,572.0,264.0,0.0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,3.0,2.0,2.0,2.0
92.0,1961,3.0,1312.0,1453.0,1453.0,1453.0,1,2,6,1,530.0,0.0,49.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,3.0,4.0,2.0,2.0
65.0,2009,0.0,553.0,894.0,894.0,894.0,1,1,5,1,336.0,416.0,144.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,1.0,3.0,4.0,2.0,2.0
69.06,1995,0.0,606.0,942.0,1265.0,1938.0,0,2,7,1,240.0,0.0,40.0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,1.0,3.0,4.0,2.0,2.0
60.0,2006,0.0,0.0,672.0,672.0,924.0,0,1,6,1,576.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,1.0,3.0,4.0,2.0,2.0
80.0,1981,0.0,1104.0,2524.0,2524.0,2524.0,1,2,9,1,542.0,474.0,120.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,3.0,2.0,2.0,2.0
69.06,1950,0.0,0.0,792.0,792.0,1517.0,0,1,7,2,400.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,1.0,3.0,1.0,2.0,2.0
30.0,1996,0.0,437.0,1494.0,1494.0,1494.0,1,1,6,1,481.0,0.0,30.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2.0,4.0,4.0,2.0,2.0
60.0,1952,0.0,441.0,948.0,948.0,948.0,0,1,5,0,410.0,0.0,48.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,1.0,3.0,2.0,2.0,2.0
79.0,2008,336.0,1288.0,1705.0,1718.0,1718.0,1,2,7,1,826.0,208.0,44.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,3.0,4.0,2.0,2.0
80.0,1958,82.0,0.0,160.0,1142.0,1142.0,0,1,5,1,384.0,0.0,28.0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,3.0,1.0,2.0,2.0
41.0,1977,0.0,548.0,757.0,925.0,1475.0,0,2,6,1,336.0,104.0,26.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,3.0,4.0,2.0,2.0
105.0,1977,480.0,705.0,1844.0,1844.0,1844.0,0,2,7,1,546.0,0.0,122.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1.0,1.0,3.0,4.0,2.0,2.0
80.0,1973,320.0,916.0,1242.0,1242.0,1242.0,0,1,6,1,528.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,3.0,1.0,2.0,2.0
60.0,1994,0.0,420.0,990.0,990.0,990.0,1,1,5,0,384.0,256.0,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.0,1.0,4.0,4.0,2.0,2.0
75.0,1965,0.0,830.0,1256.0,1256.0,1256.0,1,1,6,0,276.0,736.0,68.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,3.0,3.0,2.0,2.0
69.06,1978,104.0,1097.0,1097.0,1110.0,1110.0,1,1,4,1,602.0,303.0,30.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,3.0,4.0,2.0,2.0
81.0,1954,335.0,0.0,1050.0,1050.0,1795.0,0,2,7,0,352.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,3.0,4.0,1.0,2.0
70.0,1965,0.0,906.0,1040.0,1040.0,1040.0,1,1,5,0,384.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,1.0,3.0,4.0,2.0,2.0
100.0,1950,40.0,210.0,608.0,983.0,1873.0,0,1,9,2,786.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,1.0,2.0,2.0,1.0,2.0
60.0,1960,0.0,408.0,984.0,984.0,1604.0,0,2,6,0,660.0,0.0,68.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,1.0,3.0,4.0,2.0,2.0
60.0,2000,0.0,0.0,776.0,851.0,1502.0,0,1,6,1,270.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,3.0,2.0,2.0,2.0
80.0,1954,110.0,354.0,1056.0,1063.0,1063.0,1,1,6,0,280.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,3.0,2.0,2.0,2.0
36.0,2004,106.0,0.0,764.0,764.0,1626.0,0,2,6,0,474.0,0.0,27.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,2.0,3.0,4.0,2.0,2.0
69.06,2000,513.0,353.0,756.0,768.0,1524.0,0,2,4,0,440.0,0.0,32.0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,2.0,3.0,4.0,2.0,2.0
65.0,1950,0.0,622.0,1122.0,1328.0,1981.0,1,2,7,2,576.0,431.0,44.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,1.0,3.0,2.0,2.0,2.0
80.0,1978,184.0,790.0,1392.0,1392.0,2784.0,1,3,12,2,564.0,0.0,112.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,3.0,2.0,2.0,2.0
75.0,1951,522.0,0.0,216.0,1575.0,1575.0,0,1,5,1,400.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,3.0,2.0,2.0,2.0
80.0,1969,143.0,371.0,663.0,663.0,1352.0,0,1,7,0,299.0,379.0,36.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,3.0,2.0,2.0,2.0
24.0,2005,0.0,368.0,600.0,600.0,1200.0,1,2,4,0,480.0,0.0,172.0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,2.0,3.0,4.0,2.0,2.0
82.0,1975,0.0,486.0,936.0,936.0,936.0,0,1,5,0,240.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,3.0,2.0,2.0,2.0
68.0,1953,0.0,85.0,1040.0,1040.0,1040.0,0,1,6,0,293.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,3.0,2.0,2.0,2.0
69.06,1996,0.0,138.0,916.0,916.0,1636.0,0,2,7,1,386.0,168.0,84.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.0,1.0,3.0,3.0,2.0,2.0
92.0,2007,348.0,524.0,1152.0,1164.0,2270.0,0,2,9,1,671.0,132.0,57.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2.0,3.0,4.0,2.0,2.0
75.0,2007,0.0,64.0,1184.0,1184.0,2610.0,0,2,11,1,550.0,208.0,364.0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.0,2.0,3.0,4.0,2.0,2.0
69.06,2001,0.0,1092.0,1420.0,1483.0,1483.0,1,1,4,2,690.0,496.0,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2.0,3.0,3.0,2.0,2.0
81.0,1950,0.0,360.0,936.0,960.0,1740.0,0,1,6,1,225.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,3.0,3.0,1.0,1.0
70.0,1955,0.0,172.0,1382.0,1382.0,1382.0,0,1,6,0,350.0,280.0,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,3.0,3.0,2.0,2.0
63.0,1995,0.0,246.0,531.0,567.0,1098.0,1,1,5,1,216.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,1.0,3.0,2.0,2.0,2.0
32.0,2004,117.0,0.0,976.0,976.0,1708.0,0,2,7,0,380.0,0.0,40.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,2.0,3.0,4.0,2.0,2.0
94.0,2006,510.0,0.0,1802.0,1802.0,1802.0,0,2,7,1,843.0,158.0,105.0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,3.0,3.0,4.0,2.0,2.0
43.0,2005,145.0,16.0,1362.0,1506.0,1506.0,0,2,6,1,440.0,142.0,20.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,3.0,4.0,2.0,2.0
44.0,2010,96.0,1346.0,1508.0,1508.0,1508.0,1,1,5,2,572.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2.0,2.0,3.0,4.0,2.0,2.0
69.06,1997,668.0,700.0,1840.0,2032.0,2032.0,1,3,7,0,786.0,0.0,46.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.0,2.0,3.0,4.0,2.0,2.0
79.0,1959,0.0,655.0,655.0,1194.0,1194.0,0,1,6,1,539.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,1.0,3.0,4.0,2.0,2.0
24.0,2004,50.0,0.0,970.0,970.0,1709.0,0,2,7,0,380.0,0.0,40.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,2.0,3.0,4.0,2.0,2.0
73.0,2005,228.0,0.0,1616.0,1616.0,1616.0,0,2,7,0,834.0,208.0,59.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,3.0,4.0,2.0,2.0
69.06,1950,0.0,0.0,768.0,768.0,768.0,0,1,4,0,440.0,0.0,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,2.0,3.0,2.0,2.0,2.0
69.06,1950,65.0,0.0,872.0,872.0,872.0,0,1,5,1,322.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,1.0,3.0,1.0,1.0,1.0
60.0,1950,0.0,0.0,520.0,520.0,520.0,0,1,4,0,240.0,49.0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,1.0,3.0,1.0,1.0,2.0
80.0,1960,361.0,443.0,1105.0,1105.0,2274.0,0,2,12,0,480.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,1.0,3.0,2.0,2.0,2.0
35.0,1950,0.0,168.0,616.0,616.0,1232.0,0,1,6,0,480.0,280.0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,1.0,3.0,4.0,1.0,1.0
100.0,1950,0.0,0.0,876.0,876.0,1416.0,0,1,7,1,720.0,418.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,1.0,3.0,3.0,2.0,2.0
