ms_subclass,ms_zoning,lot_frontage,lot_area,street,lot_shape,land_contour,utilities,lot_config,land_slope,neighborhood,condition_1,condition_2,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod/add,roof_style,roof_matl,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,total_bsmt_sf,heating,heating_qc,central_air,electrical,1st_flr_sf,2nd_flr_sf,gr_liv_area,bsmt_full_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_type,garage_yr_blt,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,mo_sold,yr_sold,sale_type,saleprice
2story_pud__1946_&_newer,RM,21.0,1680.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,232.0,TA,TA,CBlock,TA,TA,No,ALQ,387.0,Unf,483.0,GasA,TA,Y,SBrkr,483.0,504.0,987.0,0,1,1,2,1,TA,4,Typ,0,,Detchd,1971,Unf,1,264.0,TA,TA,Y,0.0,0.0,7,2008,COD,11.355101379776661
1story_1946_&_newer_all_styles,RL,64.0,7488.0,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,393.0,Unf,1208.0,GasA,Ex,Y,SBrkr,1208.0,0.0,1208.0,0,2,0,2,1,Gd,6,Typ,0,,Attchd,2005,RFn,2,632.0,TA,TA,Y,105.0,58.0,2,2006,WD ,12.120514757168527
2story_1945_&_older,RL,120.0,26400.0,Pave,Reg,Bnk,AllPub,FR2,Gtl,SawyerW,Feedr,Norm,1Fam,2Story,5,7,1880,2007,Gable,CompShg,HdBoard,HdBoard,None,0.0,Gd,TA,PConc,,,,,0.0,,0.0,GasA,Ex,Y,SBrkr,1288.0,728.0,2016.0,0,1,0,4,1,TA,7,Mod,1,TA,Attchd,1900,Unf,2,576.0,TA,TA,P,0.0,0.0,6,2009,WD ,11.782952602183288
2story_pud__1946_&_newer,FV,24.0,2645.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,8,5,1999,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,456.0,Gd,TA,PConc,Gd,TA,No,GLQ,813.0,Unf,960.0,GasA,Ex,Y,SBrkr,962.0,645.0,1607.0,1,2,1,3,1,Gd,7,Typ,0,,Detchd,2000,Unf,2,480.0,TA,TA,Y,169.0,0.0,12,2008,ConLD,12.206072645530174
1story_1946_&_newer_all_styles,RL,74.0,9627.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,24.0,Unf,1351.0,GasA,Ex,Y,SBrkr,1361.0,0.0,1361.0,0,2,0,3,1,Gd,6,Typ,0,,Attchd,2007,RFn,2,610.0,TA,TA,Y,0.0,50.0,6,2008,WD ,12.170445467887022
1story_1946_&_newer_all_styles,RL,93.0,10114.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Ex,TA,Av,Unf,0.0,Unf,1430.0,GasA,Ex,Y,SBrkr,1430.0,0.0,1430.0,0,2,0,3,1,Gd,7,Typ,0,,Attchd,2004,RFn,2,624.0,TA,TA,Y,0.0,0.0,3,2010,WD ,12.063932878369052
2story_1945_&_older,RM,34.0,4571.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,5,5,1916,1950,Gable,CompShg,AsbShng,AsbShng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,624.0,GasA,Fa,N,SBrkr,624.0,720.0,1344.0,0,1,0,4,1,TA,7,Typ,0,,Detchd,1916,Unf,3,513.0,Fa,Fa,Y,0.0,0.0,5,2008,COD,11.49272275765271
1story_1946_&_newer_all_styles,RL,80.0,8816.0,Pave,Reg,Lvl,AllPub,Corner,Gtl,Sawyer,Feedr,Norm,1Fam,1Story,5,6,1963,1963,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,TA,TA,No,Rec,651.0,Unf,1121.0,GasA,TA,Y,SBrkr,1121.0,0.0,1121.0,1,1,0,3,1,TA,5,Typ,0,,Detchd,1963,Unf,2,480.0,TA,TA,Y,0.0,80.0,6,2009,WD ,11.842229212112828
1story_1946_&_newer_all_styles,RL,71.0,8197.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,6,5,1977,1977,Gable,CompShg,Plywood,Plywood,BrkFace,148.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,660.0,GasA,Ex,Y,SBrkr,1285.0,0.0,1285.0,0,1,1,3,1,TA,7,Typ,1,TA,Attchd,1977,RFn,2,528.0,TA,TA,Y,138.0,0.0,4,2007,WD ,11.874090314181814
2story_1946_&_newer,FV,72.0,8640.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5,2009,2009,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,Mn,GLQ,24.0,Unf,756.0,GasA,Ex,Y,SBrkr,764.0,783.0,1547.0,0,2,1,3,1,Gd,7,Typ,0,,Attchd,2009,Unf,2,614.0,TA,TA,Y,169.0,45.0,6,2010,Con,12.279323107269766
1story_1946_&_newer_all_styles,RL,109.0,8724.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1968,1968,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,Gd,TA,No,BLQ,492.0,Unf,894.0,GasA,Gd,Y,SBrkr,894.0,0.0,894.0,0,1,0,3,1,TA,5,Typ,1,Po,Attchd,1968,Fin,2,450.0,TA,TA,Y,0.0,0.0,5,2007,WD ,11.76756768334381
1story_pud_(planned_unit_development)__1946_&_newer,RL,40.0,5664.0,Pave,IR1,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,2000,2000,Gable,CompShg,CemntBd,CmentBd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,1158.0,Unf,1501.0,GasA,Ex,Y,SBrkr,1659.0,0.0,1659.0,1,2,0,2,1,Ex,5,Typ,1,Ex,Attchd,2000,Fin,2,499.0,TA,TA,Y,212.0,59.0,10,2009,WD ,12.535376392672774
2story_1946_&_newer,RL,103.0,12867.0,Pave,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,CemntBd,CmentBd,,99.7,Gd,TA,PConc,Ex,TA,Av,Unf,0.0,Unf,1209.0,GasA,Ex,Y,SBrkr,1209.0,1044.0,2253.0,0,2,1,3,1,Ex,8,Typ,1,Gd,Attchd,2005,Fin,2,575.0,TA,TA,Y,243.0,142.0,7,2006,New,12.748783489541202
1story_1946_&_newer_all_styles,RL,69.06,7980.0,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,7,1992,2007,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,Gd,PConc,Gd,TA,No,ALQ,935.0,Unf,1168.0,GasA,Ex,Y,SBrkr,1187.0,0.0,1187.0,1,2,0,3,1,TA,6,Typ,0,,Attchd,1992,Fin,2,420.0,TA,TA,Y,483.0,21.0,3,2010,WD ,12.128111104060462
2_family_conversion__all_styles_and_ages,RL,100.0,34650.0,Pave,Reg,Bnk,AllPub,Inside,Gtl,Gilbert,Norm,Norm,2fmCon,1Story,5,5,1955,1955,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,Mn,Rec,1056.0,Unf,1056.0,GasA,TA,N,SBrkr,1056.0,0.0,1056.0,1,1,0,3,1,TA,5,Typ,0,,Attchd,1955,Fin,2,572.0,TA,TA,Y,264.0,0.0,1,2006,WD ,11.884489021402711
1story_1946_&_newer_all_styles,RL,92.0,10573.0,Pave,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1961,1961,Hip,CompShg,MetalSd,MetalSd,BrkFace,3.0,TA,TA,CBlock,TA,TA,No,Rec,1312.0,Unf,1453.0,GasA,Ex,Y,SBrkr,1453.0,0.0,1453.0,1,2,0,3,1,TA,6,Typ,1,TA,Attchd,1961,RFn,2,530.0,TA,TA,Y,0.0,49.0,4,2009,WD ,12.141534124392603
1story_1946_&_newer_all_styles,RL,65.0,8450.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,RRAe,Norm,1Fam,1Story,5,8,1965,2009,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,553.0,BLQ,894.0,GasA,Ex,Y,SBrkr,894.0,0.0,894.0,1,1,0,3,1,TA,5,Typ,1,Gd,Detchd,1973,Unf,1,336.0,TA,TA,Y,416.0,144.0,4,2010,WD ,11.83862560460953
11/2_story_finished_all_ages,RL,69.06,11700.0,Pave,IR1,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,1.5Fin,5,6,1937,1995,Gable,CompShg,WdShing,Wd Shng,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,606.0,Unf,942.0,GasA,Ex,Y,SBrkr,1265.0,673.0,1938.0,0,2,0,4,1,Gd,7,Min2,1,Gd,Detchd,1937,Unf,1,240.0,TA,TA,Y,0.0,40.0,7,2008,WD ,12.196022309676673
11/2_story_finished_all_ages,RL,60.0,8064.0,Pave,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Artery,Norm,1Fam,1.5Fin,5,7,1949,2006,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,Gd,CBlock,TA,TA,Mn,Unf,0.0,Unf,672.0,GasA,Ex,Y,SBrkr,672.0,252.0,924.0,0,1,0,3,1,TA,6,Typ,1,Po,Detchd,2003,Unf,2,576.0,TA,TA,Y,0.0,0.0,7,2007,WD ,11.719126295554126
1story_1946_&_newer_all_styles,RL,80.0,9600.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,PosN,Norm,1Fam,1Story,8,5,1981,1981,Hip,WdShngl,BrkFace,BrkFace,None,0.0,Gd,TA,PConc,Gd,TA,No,ALQ,1104.0,Unf,2524.0,GasA,TA,Y,SBrkr,2524.0,0.0,2524.0,1,2,1,4,1,Gd,9,Typ,1,Gd,Attchd,1981,Fin,2,542.0,TA,TA,Y,474.0,120.0,7,2009,WD ,12.535376392672774
2story_1945_&_older,RL,69.06,11435.0,Pave,IR1,HLS,AllPub,Corner,Mod,Crawfor,Norm,Norm,1Fam,2Story,8,7,1929,1950,Gable,CompShg,BrkFace,Stucco,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,792.0,GasA,Fa,Y,SBrkr,792.0,725.0,1517.0,0,1,0,3,1,Gd,7,Typ,2,Gd,Detchd,1931,Unf,2,400.0,TA,TA,Y,0.0,0.0,6,2006,WD ,12.345834587905333
1story_pud_(planned_unit_development)__1946_&_newer,RL,30.0,9549.0,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Veenker,Norm,Norm,TwnhsE,1Story,8,5,1995,1996,Hip,CompShg,BrkFace,BrkFace,None,0.0,Gd,Gd,PConc,Gd,Gd,Av,LwQ,437.0,GLQ,1494.0,GasA,Ex,Y,SBrkr,1494.0,0.0,1494.0,1,1,1,2,1,Ex,6,Typ,1,Gd,Attchd,1995,Fin,2,481.0,TA,TA,Y,0.0,30.0,4,2006,WD ,12.506177237980511
1story_1946_&_newer_all_styles,RL,60.0,10950.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1952,1952,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,441.0,Unf,948.0,GasA,TA,Y,SBrkr,948.0,0.0,948.0,0,1,0,2,1,TA,5,Typ,0,,Detchd,1952,Unf,2,410.0,TA,TA,N,0.0,48.0,4,2007,WD ,11.736069016284437
1story_1946_&_newer_all_styles,RL,79.0,10637.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2008,Hip,CompShg,VinylSd,VinylSd,Stone,336.0,Gd,TA,PConc,Ex,TA,Gd,GLQ,1288.0,Unf,1705.0,GasA,Ex,Y,SBrkr,1718.0,0.0,1718.0,1,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2007,RFn,3,826.0,TA,TA,Y,208.0,44.0,9,2009,WD ,12.601487417784837
1story_1946_&_newer_all_styles,RL,80.0,9000.0,Pave,IR1,HLS,AllPub,Inside,Mod,NAmes,Norm,Norm,1Fam,1Story,6,6,1958,1958,Flat,Tar&Grv,Wd Sdng,Wd Sdng,BrkFace,82.0,TA,TA,CBlock,Gd,TA,Gd,Unf,0.0,Unf,160.0,GasA,Fa,Y,SBrkr,1142.0,0.0,1142.0,0,1,0,2,1,TA,5,Typ,1,Gd,Basment,1958,RFn,1,384.0,TA,TA,Y,0.0,28.0,4,2009,WD ,11.639558115903595
2story_pud__1946_&_newer,RM,41.0,2665.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,2Story,5,6,1977,1977,Gable,CompShg,CemntBd,CmentBd,None,0.0,TA,TA,PConc,TA,TA,No,ALQ,548.0,Rec,757.0,GasA,Ex,Y,SBrkr,925.0,550.0,1475.0,0,2,0,4,1,TA,6,Typ,1,TA,Attchd,1977,RFn,1,336.0,TA,TA,Y,104.0,26.0,7,2006,WD ,11.751942365440728
1story_1946_&_newer_all_styles,RL,105.0,11751.0,Pave,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,6,1977,1977,Hip,CompShg,Plywood,Plywood,BrkFace,480.0,TA,TA,CBlock,Gd,TA,No,BLQ,705.0,Unf,1844.0,GasA,Ex,Y,SBrkr,1844.0,0.0,1844.0,0,2,0,3,1,TA,7,Typ,1,TA,Attchd,1977,RFn,2,546.0,TA,TA,Y,0.0,122.0,1,2010,COD,12.154779351142624
1story_1946_&_newer_all_styles,RL,80.0,9600.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,7,6,1973,1973,Hip,CompShg,HdBoard,HdBoard,BrkFace,320.0,TA,TA,CBlock,TA,TA,No,ALQ,916.0,Unf,1242.0,GasA,Fa,Y,SBrkr,1242.0,0.0,1242.0,0,1,1,3,1,TA,6,Typ,1,TA,Attchd,1973,Unf,2,528.0,TA,TA,Y,0.0,0.0,9,2007,WD ,12.075394321888057
1story_1946_&_newer_all_styles,RL,60.0,8428.0,Pave,IR2,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,7,1994,1994,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,PConc,Gd,Gd,No,GLQ,420.0,Unf,990.0,GasA,Ex,Y,SBrkr,990.0,0.0,990.0,1,1,0,3,1,TA,5,Typ,0,,Detchd,1995,Unf,1,384.0,TA,TA,Y,256.0,0.0,7,2007,WD ,11.891361900690473
1story_1946_&_newer_all_styles,RL,75.0,9937.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,6,1965,1965,Gable,CompShg,HdBoard,HdBoard,None,0.0,Gd,TA,CBlock,TA,TA,No,BLQ,830.0,LwQ,1256.0,GasA,Gd,Y,SBrkr,1256.0,0.0,1256.0,1,1,1,3,1,TA,6,Typ,0,,Attchd,1965,Fin,1,276.0,TA,TA,Y,736.0,68.0,6,2008,WD ,11.901583454762012
split_foyer,RL,69.06,9101.0,Pave,IR1,Lvl,AllPub,Corner,Gtl,Mitchel,Norm,Norm,1Fam,SFoyer,5,6,1978,1978,Gable,CompShg,Plywood,Plywood,BrkFace,104.0,TA,Gd,PConc,Gd,TA,Av,GLQ,1097.0,Unf,1097.0,GasA,Ex,Y,SBrkr,1110.0,0.0,1110.0,1,1,0,1,1,Gd,4,Typ,1,TA,Attchd,1978,Fin,2,602.0,TA,TA,Y,303.0,30.0,7,2009,WD ,12.016726473799254
11/2_story_finished_all_ages,RM,81.0,12150.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,5,5,1954,1954,Gable,CompShg,MetalSd,MetalSd,BrkFace,335.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,1050.0,GasA,Ex,N,FuseF,1050.0,745.0,1795.0,0,2,0,4,1,TA,7,Typ,0,,Attchd,1954,Unf,1,352.0,Fa,TA,Y,0.0,0.0,11,2008,WD ,11.786762130599957
1story_1946_&_newer_all_styles,RL,70.0,11200.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,906.0,Unf,1040.0,GasA,Ex,Y,SBrkr,1040.0,0.0,1040.0,1,1,0,3,1,TA,5,Typ,0,,Detchd,1965,Unf,1,384.0,TA,TA,Y,0.0,0.0,2,2008,WD ,11.771436160121729
2story_1945_&_older,RL,100.0,9670.0,Pave,IR1,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,2Story,8,6,1935,1950,Gable,CompShg,BrkFace,Stucco,Stone,40.0,TA,TA,PConc,TA,Fa,No,LwQ,210.0,Unf,608.0,GasA,TA,Y,SBrkr,983.0,890.0,1873.0,0,1,1,4,1,TA,9,Typ,2,Gd,Detchd,1935,Fin,2,786.0,Fa,TA,Y,0.0,0.0,6,2008,WD ,12.45712704000522
11/2_story_finished_all_ages,RL,60.0,10998.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,5,5,1941,1960,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,LwQ,408.0,BLQ,984.0,GasA,Ex,Y,SBrkr,984.0,620.0,1604.0,0,2,0,3,1,TA,6,Min2,0,,Detchd,1977,Unf,2,660.0,TA,TA,Y,0.0,68.0,7,2009,WD ,11.669929213779893
2story_1945_&_older,RL,60.0,7200.0,Pave,Reg,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,2Story,7,6,1931,2000,Gable,CompShg,Stucco,Wd Shng,None,0.0,TA,Fa,BrkTil,Gd,TA,No,Unf,0.0,Unf,776.0,GasA,TA,Y,SBrkr,851.0,651.0,1502.0,0,1,1,3,1,TA,6,Typ,1,Gd,Attchd,1931,RFn,1,270.0,TA,TA,P,0.0,0.0,2,2008,WD ,11.911701584927597
1story_1946_&_newer_all_styles,RL,80.0,9920.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1954,1954,Gable,CompShg,HdBoard,HdBoard,Stone,110.0,TA,TA,CBlock,TA,TA,No,Rec,354.0,LwQ,1056.0,GasA,TA,Y,SBrkr,1063.0,0.0,1063.0,1,1,0,3,1,TA,6,Typ,0,,Attchd,1954,RFn,1,280.0,TA,TA,Y,0.0,0.0,2,2010,WD ,11.759785542901755
2story_pud__1946_&_newer,RL,36.0,2448.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,Twnhs,2Story,7,5,2003,2004,Gable,CompShg,VinylSd,Wd Shng,Stone,106.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,764.0,GasA,Ex,Y,SBrkr,764.0,862.0,1626.0,0,2,1,2,1,Gd,6,Typ,0,,BuiltIn,2003,RFn,2,474.0,TA,TA,Y,0.0,27.0,10,2008,WD ,11.951180395901384
2story_pud__1946_&_newer,FV,69.06,2998.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,6,5,2000,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,513.0,Gd,TA,PConc,Gd,TA,No,GLQ,353.0,Unf,756.0,GasA,Ex,Y,SBrkr,768.0,756.0,1524.0,0,2,1,2,1,Gd,4,Typ,0,,Detchd,2000,Unf,2,440.0,TA,TA,Y,0.0,32.0,6,2006,WD ,12.01974306733868
11/2_story_finished_all_ages,RL,65.0,7804.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,SWISU,Norm,Norm,1Fam,1.5Fin,4,3,1928,1950,Gable,CompShg,WdShing,Plywood,None,0.0,TA,TA,BrkTil,TA,TA,No,BLQ,622.0,Unf,1122.0,GasA,TA,Y,SBrkr,1328.0,653.0,1981.0,1,2,0,4,1,Gd,7,Min2,2,TA,Detchd,1981,Unf,2,576.0,TA,TA,Y,431.0,44.0,12,2009,WD ,11.813030057420567
